"gene_symbol","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"0610005C13Rik",0,0.997906823526847,1.67935052440605,0,5.80027927083353,0,4.26146752342806,6.16619466664921,1.06544018822241,2.1102583611848,0.990577672637742,0,0,3.72241909258871
"0610009E02Rik",3.39182543466931,1.99581364705369,5.03805157321816,2.88431615915867,9.66713211805589,8.45283508032517,4.26146752342806,1.0276991111082,2.13088037644482,5.27564590296201,1.98115534527548,6.01180575084646,4.3793722528165,2.79181431944153
"0610009L18Rik",11.306084782231,4.98953411763424,17.6331805062636,24.9974067127085,2.90013963541677,12.6792526204878,22.1596311218259,10.276991111082,21.3088037644482,14.7718085282936,37.6419515602342,10.0196762514108,20.8020182008784,24.1957241018266
"0610030E20Rik",340.313151945155,423.112493175383,387.929971137798,447.069004669594,355.750461944457,422.641754016258,369.04308752887,432.661325776553,360.118783619174,442.099126668216,460.61861777655,408.802791057559,372.246641489403,378.756142670901
"0610031O16Rik",2.26121695644621,0,0,0,0,0,0,0,0,0,0,0,1.09484306320413,0
"0610039K10Rik",7.91425934756173,11.9748818823222,9.23642788423329,2.88431615915867,1.93342642361118,6.33962631024388,5.11376102811368,3.08309733332461,6.39264112933445,1.0551291805924,12.8775097442906,7.01377337598754,4.3793722528165,4.65302386573588
"0610040F04Rik",0,0.997906823526847,0.839675262203026,0,0,0,0,2.0553982222164,1.06544018822241,2.1102583611848,0,0,1.09484306320413,0
"0610043K17Rik",0,1.99581364705369,1.67935052440605,0,0,0,0.852293504685612,2.0553982222164,6.39264112933445,0,2.97173301791323,0,9.85358756883713,0.930604773147177
"1110002E22Rik",6.78365086933863,9.97906823526847,2.51902578660908,0.961438719719556,14.5006981770838,3.16981315512194,7.67064154217051,0,7.45808131755685,3.1653875417772,30.70790785177,13.025579126834,15.3278028848578,0.930604773147177
"1110002J07Rik",6.78365086933863,9.97906823526847,8.39675262203026,6.73007103803689,5.80027927083353,5.28302192520323,6.8183480374849,3.08309733332461,5.32720094111204,8.44103344473921,24.7644418159435,7.01377337598754,12.0432736952454,8.37544295832459
