"gene","n","mean_expr","median_expr","sd_expr","min_expr","max_expr"
"FOLH1",457,14.2730834616908,14.5003809113233,1.49527339479878,7.00734926951564,17.2169566935398
"KLK3",457,19.7122132686422,19.8723848606433,0.99001845516116,14.6635439640369,22.0395892486756
"AR",457,13.3148927844287,13.2672391629998,0.587302938660112,11.7558418445711,16.5490584256026
"NKX3-1",457,15.8949057965845,15.9495435252386,0.565447544871698,13.4531414355039,17.4663828410314
"TMPRSS2",457,15.9665662889146,16.1423322593966,1.18633870627888,5.84808831249122,18.0061262161549
"AMACR",457,9.94184970104881,9.99045576510903,1.67910086547765,5.58513408141433,14.3238311393833
"ERG",457,10.9837035871121,9.7380213156339,2.46610356647706,6.81876965247518,15.3421620361687
"MKI67",457,9.582546278082,9.50430273292049,1.08191835195195,7.00358618576847,13.1796888138184
"CDH1",457,14.6751870644599,14.7548445257213,0.748332522408576,7.18650934458916,16.0140051435789
"VIM",457,12.8686456049556,12.8727506133627,0.822542653453647,10.6486181593909,15.4602251792605
"AURKA",457,7.61507647327739,7.48106085657387,0.780638874235663,6.21512267925356,11.3950203346852
"BRCA1",457,8.28305084350035,8.20860248428754,0.632617954771523,6.60073962661054,11.3066809384055
"BRCA2",457,6.64889335031654,6.59695016627223,0.740257748827865,4.76499906193622,9.90497873800106
"MYC",457,12.0265941995821,12.0900153936623,0.923645872383303,8.49021577299345,14.9322855498686
"TP53",457,11.6069615325118,11.696917068282,0.670240640729583,7.97898755451875,13.0596275514907
"PTEN",457,11.9153461663129,12.0987388664022,0.731192899678046,8.5432280641287,13.5281571897979
"RB1",457,11.0331957871484,11.0981720305196,0.600496356393876,8.71973004392211,12.3354009481027
"TTF1",457,9.81319376790672,9.79637539108282,0.253016982462228,8.85169810369534,10.7760920629667
"INSM1",457,7.47871239148109,7.69391059098827,1.74748046246655,3.52519573878202,11.3118705341316
"NKX2-1",457,4.91715832430771,4.40154292459559,1.47726236971254,3.52519573878202,9.9897932503239
"ACP3",457,17.3844476691775,17.5192716791547,1.5316240600582,10.5189847792158,20.534648544579
"CHGA",457,9.4571650052077,9.50176611659422,2.21695096379188,3.52519573878202,17.8060377640092
"CHGB",457,7.67912581040685,7.47697208476927,1.63849590772762,3.52519573878202,14.612038063281
"TFRC",457,10.6280843884392,10.5787350605102,0.743376218981644,8.48890748406399,13.1812600344065
"NCAM1",457,8.36283632967733,8.32314776637308,1.46061934810344,4.4451900899511,12.8728534125819
"SCG2",457,7.59777322216319,7.65029780439425,1.51780165116369,3.96285625172383,13.5432186742805
"SYP",457,8.09496732635996,7.86076763655283,1.11281195130373,5.22536898523531,12.8153569626456
"FOLH1",457,14.2730834616908,14.5003809113233,1.49527339479878,7.00734926951564,17.2169566935398
