"T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts","sample_id","immune_group"
-0.907216402161773,-0.480277262635855,-1.71041523456668,-0.00432908931777554,-3.73621615222723,2.60731690345206,-1.05854439620478,1.30424830447042,3.47865473076348,6.0390824289107,"TCGA-EJ-7123-01A-11R-1965-07","Low"
-0.640530340980109,0.0962908064659945,-2.15152027904648,-0.184814499036582,-4.17407682694067,3.20628455504655,-0.949037461167918,1.50684062281941,2.42769244927663,6.72055600604927,"TCGA-CH-5790-01A-11R-1580-07","Low"
0.496751654121019,0.823695143912455,-1.0512426339607,1.29619223029231,-3.3079177164797,2.55793008150482,-0.204985525304892,1.66881000603226,3.16888744562592,7.20013627896712,"TCGA-KC-A4BL-01A-31R-A250-07","High"
-2.89919992515952,-3.25109230786582,-2.6743722200737,-3.08147561017755,-4.2733789523737,1.30639175183445,-3.66408826337789,-0.413347478283626,2.36462375108834,5.12593396281949,"TCGA-XQ-A8TA-01A-11R-A36G-07","Low"
-0.156295658009802,0.0143995893194003,-1.5971081736481,0.0255660871050982,-3.27771378202015,2.99123353135323,-0.600332422906401,1.05102136224339,4.27978304864124,7.89614057120106,"TCGA-ZG-A9L6-01A-11R-A41O-07","Low"
-0.748825897111937,0.513895605444754,-2.2851302706622,0.364741375715341,-4.07060644975686,1.59255072801382,-0.980766615623271,0.928213119329204,2.41035724234452,5.71374204101955,"TCGA-XK-AAK1-01A-11R-A41O-07","High"
-0.955680840955286,-0.170829292294454,-2.06304579904582,-1.00687393258866,-3.86969336778173,2.17154656404009,-1.72197253293344,0.0400087197570504,3.35388173793489,8.15514454124703,"TCGA-G9-6361-01A-21R-1965-07","Low"
1.4681882478147,0.817856857064469,-1.03046188458419,1.66646522849552,-2.60093857447632,3.23418734279535,0.281775652343118,0.688868372669839,2.25268436704379,5.60352930833459,"TCGA-HC-8265-01B-04R-2302-07","High"
-1.17864779528901,-0.742121250004126,-2.63844983910693,-0.536570844012772,-4.26244248498148,2.11948098420008,-1.78899443906963,0.59132421578792,2.11962886885082,5.71776648841608,"TCGA-HC-8213-01A-11R-A29R-07","Low"
-0.760841540010004,0.00450060596988433,-2.226066054905,-0.711786649715154,-4.24925253981065,2.2143973715179,-1.6905791825759,0.418704668823473,2.32810630415652,6.7219299959679,"TCGA-V1-A8WS-01A-11R-A37L-07","Low"
-0.309573107676103,-0.107652349990033,-2.99274726169748,0.288513893992627,-3.86943507367357,2.17031121164245,-0.911856090635111,1.20809614837274,2.19749135909552,6.73471754756433,"TCGA-J4-A83N-01A-11R-A352-07","Low"
