"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","3/47","18/9410",0.166666666666667,33.3687943262411,9.73860800756681,9.04189092523411e-05,0.0312876507561096,0.0312876507561096,"2180/2194/51703",3
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","4/47","57/9410",0.0701754385964912,14.0500186636805,7.00142184066159,0.000177770742932441,0.0312876507561096,0.0312876507561096,"2180/2194/51703/60481",4
