"logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","SYMBOL"
-1.2750091308,7.08701644773684,-5.76356105998929,1.005248795774e-05,0.0321747043585661,3.47262565443456,"595097","SNORD16"
-1.04708064914444,9.07270571994737,-5.52339662933868,1.74922514765635e-05,0.0321747043585661,2.98064631445371,"54020","SLC37A1"
1.01697185793333,7.80975999694737,5.51375019990682,1.7888016430684e-05,0.0321747043585661,2.96073088562917,"54739","XAF1"
-1.04300621416667,7.96254359063158,-5.44461513664004,2.10046369842872e-05,0.0321747043585661,2.81766454188263,"130507","UBR3"
-1.28711665276667,8.80468467742105,-5.11900261860433,4.50183697932419e-05,0.0321747043585661,2.13648114994994,"1182","CLCN3"
-1.05860125285555,8.98961034642105,-5.07139582879888,5.03636585155548e-05,0.0321747043585661,2.03595519108864,"4677","NARS1"
-1.08120093763333,7.99385222026316,-5.03026615120025,5.54976853905168e-05,0.0321747043585661,1.94893302471864,"4200","ME2"
-1.38097405076667,6.46452826589474,-5.00130435442969,5.94281989667544e-05,0.0321747043585661,1.88756246755498,"594837","SNORD101"
-1.15747517167778,6.846350853,-5.00049623446565,5.95418264627034e-05,0.0321747043585661,1.88584896565914,"4674","NAP1L2"
1.06597248793333,6.28123550221053,4.97981270325029,6.25261677410763e-05,0.0321747043585661,1.84197284368657,"969","CD69"
-1.01753254402222,7.421174317,-4.92850301605491,7.06002074207616e-05,0.0321747043585661,1.73296949206902,"23556","PIGN"
-1.33475982433333,8.25383501663158,-4.84373587928986,8.63187527107274e-05,0.0321747043585661,1.55241561640703,"26790","SNORD58B"
-1.16926656174444,7.66578175989474,-4.83324924326251,8.84949134868818e-05,0.0321747043585661,1.53004032180584,"100131693","EIF4EP2"
-1.11822015153333,9.01695917347368,-4.74860112440854,0.000108218409333557,0.0321747043585661,1.34913675934176,"533","ATP6V0B"
-1.13216549656667,8.36835224252632,-4.67013026053943,0.00013045233950104,0.0321747043585661,1.18100948511546,"22836","RHOBTB3"
1.26024024483333,6.98763133005263,4.61846284777454,0.000147554060151662,0.0321747043585661,1.07011072829757,"728360",NA
-1.08389739706667,8.27373614042105,-4.59584166702933,0.000155736218636731,0.0321747043585661,1.02151146359604,"60559","SPCS3"
-1.3403305166,9.075977712,-4.58287645044185,0.000160630195934812,0.0321747043585661,0.993645344791778,"57142","RTN4"
-1.32229081364444,8.57126465694737,-4.55710374173523,0.000170823234964657,0.0321747043585661,0.938227929724007,"1528","CYB5A"
-1.01825670435555,7.92802118731579,-4.55158983747505,0.000173087142767255,0.0321747043585661,0.926367697479065,"57614","RELCH"
-1.0233676041,8.19152938152632,-4.47468240152341,0.000207999371790351,0.0321747043585661,0.760807038927128,"140739","UBE2F"
1.09672134151111,7.15828747157895,4.4259151984791,0.000233721957516866,0.0321747043585661,0.655709561029235,"1600","DAB1"
1.19306623832222,5.80169972189474,4.42010165558764,0.000236994179824007,0.0321747043585661,0.643175758124015,"8756","ADAM7"
-1.22686208057778,7.62602411726316,-4.41510779680644,0.000239841731711588,0.0321747043585661,0.632408360951466,"54664","TMEM106B"
-1.17262670397778,7.62203864931579,-4.38808471172315,0.000255856988524128,0.0321747043585661,0.574130902029165,"28977","MRPL42"
-1.19798069975555,8.80027012278947,-4.38681006541329,0.000256638368792594,0.0321747043585661,0.571381539501711,"22837","COBLL1"
1.14146184154444,7.8998054308421,4.35080262157063,0.000279728605576957,0.0326525395687996,0.493698647837375,"400454",NA
1.06516524427778,6.17921794368421,4.34058470555451,0.000286652633943213,0.0326525395687996,0.471649159506003,"4283","CXCL9"
-1.11434959433333,10.3021136088421,-4.33655174569297,0.000289432570100899,0.0326525395687996,0.4629457630961,"47","ACLY"
-1.01795264192222,9.8634037068421,-4.30100613647581,0.000315132947963678,0.032897139480904,0.386223427713608,"8763","CD164"
-1.15862677893333,8.31669695947368,-4.27256942192546,0.00033733010032461,0.0335461184724281,0.324831584766677,"2631","NIPSNAP2"
-1.01345939391111,7.70282921010526,-4.25812251318765,0.000349200032998115,0.0337035362435421,0.293638740611198,"647150","ABCE1P2"
-1.18406669407778,9.12249294489474,-4.20138486386761,0.000400002173395236,0.0337035362435421,0.171120775881797,"8895","CPNE3"
-1.00730338528889,8.99554670342105,-4.1831495338046,0.000417850519209252,0.0337035362435421,0.131742051949936,"2617","GARS1"
-1.08504421517778,9.08716826405263,-4.18257237566222,0.000418428241317738,0.0337035362435421,0.130495699125823,"10652","YKT6"
-1.28183022217778,8.44390503942105,-4.13191076159642,0.000472376374375184,0.0337035362435421,0.0210993143791347,"54431","DNAJC10"
-1.04737488188889,9.36562063905263,-4.12542559446576,0.000479765953437057,0.0337035362435421,0.00709685970842955,"6950","TCP1"
-1.13370738322222,8.95065279378947,-4.10714753108665,0.000501219754902556,0.0337035362435421,-0.0323657847369887,"664","BNIP3"
