"","PCA0209","PCA0210","PCA0215","PCA0187","PCA0193","PCA0194","PCA0199","PCA0200","PCA0201","PCA0206","PCA0207","PCA0208","PCA0211","PCA0213","PCA0188","PCA0189","PCA0190","PCA0182","PCA0184"
"T_cells",-0.524615617662652,-0.75569946224343,-0.677208633477754,-0.115606728143179,-0.269635688858593,0.110543058395819,0.127622510035598,0.907521017950466,0.152692569870484,-0.346908914425718,0.99223661289101,0.198579692654639,-0.382538222073821,-0.30444583161787,-0.495834280087859,-0.12675149587215,0.568343494116491,0.142543361357267,0.844126334923881
"CD8_T",-0.462134748743933,-0.482938904439106,-0.737046557747773,0.461684364450301,0.107265206128673,0.422482556052678,0.259950686058916,0.462787561075242,0.171627660380217,-0.662415884123902,0.572865746102838,0.66698569972463,-0.635007195334394,0.23174881287085,-0.0252215405589638,-0.19796822750779,0.54961972998415,-0.471485768394868,0.750014651710507
"Cytotoxic",-0.304262224215269,-0.276338710899038,-0.54572175443462,0.111489812921306,-0.490621123297981,0.461800837770608,0.200897021138076,0.409673925269646,0.320013547370162,-0.470069476486415,0.45557453565774,0.695069302431266,-0.368834502999603,0.680250682536259,-0.405194560923758,-0.0808134060781989,0.668054285786468,-0.53468908581383,0.493028508958807
"B_cells",-0.100924032416875,-0.446880174885081,-0.641746621154287,-0.474308128169146,-0.35571016847814,-0.109520563508294,0.415544228796235,0.811557979247141,0.373134893584791,-0.463346861604837,0.976028175414678,0.124521325435745,-0.471710974778459,-0.198061046731803,-0.495836251889014,0.0018177686889343,0.324973400364093,-0.137146048726753,0.665296165567794
"NK_cells",-0.623884578512765,0.250164127293126,-0.825537858136499,-0.0604661763603944,-0.0283614784021985,0.304369929269596,0.190872297165779,0.262075168389176,0.364297157354888,-0.106638391335631,-0.115556041736131,0.587985291723844,0.200466526220159,0.555672537734014,-0.6024811533547,-0.0694361064470141,0.566314240619169,-0.177171307572586,0.613899672433795
"Monocytes_Macrophages",-0.690390639059457,0.476411685055228,-0.902664112307525,-0.379448945463509,0.215915285692239,-0.088261523916951,0.29324735065458,-0.0313186397030978,0.0810848699044524,-0.374050461498579,0.427884675313276,0.485930290968942,0.536411349383392,-0.0199197152162388,-0.150356941920042,-0.339575392864532,0.61789468369474,-0.388080724072838,0.434352352108313
"Treg",-0.412199137412844,-0.202695468073694,0.00778895124078982,-0.566640687081651,0.184085267165157,0.0306736850077631,0.0157155299731133,0.644728895736387,0.310137231560914,-0.688245125504243,0.628128342771076,0.423347873543581,-0.128563089223634,-0.386656045267999,-0.764961743172085,0.636820957733375,0.350291046950054,-0.325349410260895,0.217972507289734
"Checkpoint",-0.588259799280439,-0.15459555318648,-0.584384383368951,0.0833305635218476,-0.651428412608716,0.61208104525658,-0.126384830568671,0.64236839098687,0.481124041168428,-0.253332468600671,0.733361356643727,0.479437486576254,-0.442919097892903,0.552097040546555,-0.602115714944384,-0.0401439121378527,0.476851264195183,-0.567199768600434,0.0840111969916931
"Antigen_Presentation",-0.537903878847102,0.665299955386961,0.317742851732626,-0.879274441439636,0.785684529445181,-0.660963665465356,0.403976519598561,-0.408444139044289,0.125923120621095,-0.382298393398092,0.89240674114751,-0.411070648529382,-0.567007038453304,-0.818973679227419,-0.388586752600156,-0.433846282802077,0.239991397767041,-0.101079341033895,0.990948683961371
