"model","term","estimate","conf.low","conf.high","p.value"
"FOLH1_only","FOLH1_log2_FPKM",1.0100294928677,0.890302966698449,1.1458566517482,0.876804397647959
"Monocytic_only","Monocytic_lineage_score",1.0072894890888,0.96460785464009,1.05185968572416,0.74231791115386
"Joint","FOLH1_log2_FPKM",1.00644377182021,0.884575671337533,1.1451016556945,0.922300492400173
"Joint","Monocytic_lineage_score",1.00687666530152,0.963473993719046,1.05223454471811,0.760492375481782
