"cell_type","sample","score"
"Granulocytes","C2917WT",5.56744225820523
"Granulocytes","C2893WT",0
"Granulocytes","WT2868C",4.68879090145795
"Granulocytes","WT2881C",0
"Granulocytes","WT2882C",0
"Granulocytes","KO2868C",0
"Granulocytes","KO2881C",0
"Granulocytes","KO2882C",0
"Mast cells","WT2921C_OE",0
"Mast cells","WT2910C_OE",16.8881414030497
"Mast cells","WT2898C_OE",4.31280903928587
"Mast cells","WT2965C_OE",2.62890792185267
"Mast cells","KO2912C_OE",1.08552155075326
"Mast cells","KO2918C_OE",3.09099982027712
"Mast cells","KO2960C_OE",9.03629938472502
"Mast cells","KO2913C_OE",22.4857669138647
"Mast cells","C2890WT",1.68303684367469
"Mast cells","C2917WT",6.68093070984627
"Mast cells","C2893WT",20.8443211335269
"Mast cells","WT2868C",0
"Mast cells","WT2881C",1.0998949225412
"Mast cells","WT2882C",0
"Mast cells","KO2868C",0
"Mast cells","KO2881C",1.10430481053148
"Mast cells","KO2882C",0
"Eosinophils","WT2921C_OE",0
"Eosinophils","WT2910C_OE",1.98684016506466
"Eosinophils","WT2898C_OE",0
"Eosinophils","WT2965C_OE",3.50521056247023
"Eosinophils","KO2912C_OE",14.1117801597924
"Eosinophils","KO2918C_OE",0
"Eosinophils","KO2960C_OE",9.03629938472502
"Eosinophils","KO2913C_OE",10.2208031426658
"Eosinophils","C2890WT",3.36607368734938
"Eosinophils","C2917WT",0
"Eosinophils","C2893WT",0
"Eosinophils","WT2868C",0
"Eosinophils","WT2881C",0
"Eosinophils","WT2882C",0
"Eosinophils","KO2868C",1.62713496716355
"Eosinophils","KO2881C",0
"Eosinophils","KO2882C",0.9412156395054
"Neutrophils","WT2921C_OE",0
"Neutrophils","WT2910C_OE",0
"Neutrophils","WT2898C_OE",0
"Neutrophils","WT2965C_OE",0
"Neutrophils","KO2912C_OE",1.08552155075326
"Neutrophils","KO2918C_OE",0
"Neutrophils","KO2960C_OE",0
"Neutrophils","KO2913C_OE",0
"Neutrophils","C2890WT",0
"Neutrophils","C2917WT",0
"Neutrophils","C2893WT",0
"Neutrophils","WT2868C",0
"Neutrophils","WT2881C",0
"Neutrophils","WT2882C",0
"Neutrophils","KO2868C",0
"Neutrophils","KO2881C",2.20860962106296
"Neutrophils","KO2882C",0
"Basophils","WT2921C_OE",35.8952182078559
"Basophils","WT2910C_OE",28.8091823934376
"Basophils","WT2898C_OE",30.1896632750011
"Basophils","WT2965C_OE",14.8971448904985
"Basophils","KO2912C_OE",48.8484697838967
"Basophils","KO2918C_OE",25.7583318356427
"Basophils","KO2960C_OE",13.5544490770875
"Basophils","KO2913C_OE",27.5961684851976
"Basophils","C2890WT",20.1964421240963
"Basophils","C2917WT",21.1562805811799
"Basophils","C2893WT",27.3132483818628
"Basophils","WT2868C",52.7488976414019
"Basophils","WT2881C",54.9947461270601
"Basophils","WT2882C",34.8227817472437
"Basophils","KO2868C",19.5256196059626
"Basophils","KO2881C",28.7119250738185
"Basophils","KO2882C",48.9432132542808
"Vessels","WT2921C_OE",448.146360655655
"Vessels","WT2910C_OE",448.032457222082
"Vessels","WT2898C_OE",598.617894652878
"Vessels","WT2965C_OE",566.091505838943
"Vessels","KO2912C_OE",1018.21921460656
"Vessels","KO2918C_OE",819.114952373437
"Vessels","KO2960C_OE",617.856970430573
"Vessels","KO2913C_OE",632.667714531012
"Vessels","C2890WT",433.381987246233
"Vessels","C2917WT",459.870730527752
"Vessels","C2893WT",518.951719255394
"Vessels","WT2868C",515.766999160375
"Vessels","WT2881C",521.35019328453
"Vessels","WT2882C",582.701214570545
"Vessels","KO2868C",484.072652731157
"Vessels","KO2881C",457.182191560033
"Vessels","KO2882C",606.142871841478
"Lymphatics","WT2921C_OE",23.9301454719039
"Lymphatics","WT2910C_OE",31.2927325997685
"Lymphatics","WT2898C_OE",9.9194607903575
"Lymphatics","WT2965C_OE",10.9537830077195
"Lymphatics","KO2912C_OE",10.312454732156
"Lymphatics","KO2918C_OE",20.0914988318013
"Lymphatics","KO2960C_OE",21.4612110387219
