"group","n","mean_FOLH1_log2_FPKM","sd_FOLH1_log2_FPKM","median_FOLH1_log2_FPKM","min_FOLH1_log2_FPKM","max_FOLH1_log2_FPKM"
"Negative",124,5.96773852191471,2.92223010940739,6.76069845606878,0.266797245227556,10.612394037015
"Positive",142,7.02428156345843,2.41204325838829,7.58835561456171,0.445469436871049,11.1889872137463
