"gene_id","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"15785","255231",0.124205331962232,6.42920917189333,1.45070840817858,0.148919766284398,0.275657067026931,-5.73073769647033
"12072","100133902",0.11948930538168,7.49506322963333,1.45064922164018,0.148936233430581,0.275667427569394,-5.7308218244697
"2151","338761",0.11882821401687,7.74542953465333,1.45060153640098,0.148949501654433,0.275667427569394,-5.7308896020454
"6472","2312",0.135508940599034,7.36440698647333,1.45057423279211,0.148957099182802,0.275667427569394,-5.73092840914671
"4517","203413",0.150607399094818,6.38737224891333,1.4503638847186,0.149015640856613,0.275756184141632,-5.73122735676345
"9349","5655",0.0931764015331478,8.63496849224,1.45014579616118,0.14907635549935,0.275848948942523,-5.73153726067921
"22975","6886",0.120236111583762,7.33508207914667,1.45001672159459,0.14911229812327,0.275895866003571,-5.73172065433657
"10748","100130550",0.109475328799113,6.42220470234,1.44978330402738,0.149177313481732,0.275996564573693,-5.73205226186968
"3030","839",0.0995709823764557,9.6413454509,1.4494622280861,0.149266780611032,0.276108605501653,-5.73250831753423
"25245","131540",0.126280298969061,7.72142337209333,1.44945914555127,0.149267639753195,0.276108605501653,-5.73251269548488
"9385","3840",-0.161971325394941,8.27854255388,-1.44945190202378,0.149269658632614,0.276108605501653,-5.7325229830235
"10277","100129118",-0.183665843779832,7.57269293514667,-1.44933784011417,0.149301452167263,0.276147813331443,-5.73268497157879
"5688","2081",0.0873009212406615,8.39989684418667,1.44916165583833,0.14935057190221,0.276191783075187,-5.73293516077567
"19565","135250",0.0980894769871403,5.79875542094,1.44915444440838,0.149352582696109,0.276191783075187,-5.73294540068415
"4447","8453",-0.124377675561677,6.80598380978,-1.44913852775218,0.149357020879371,0.276191783075187,-5.73296800144974
"403","79814",0.041356137918843,10.9727088025333,1.44904822069494,0.149382203926227,0.276218750593455,-5.73309622787291
"18489","5315",0.132518274839686,10.0830741313067,1.44897889417119,0.149401538556807,0.276234900897676,-5.73319465889603
"25157","27107",0.118321686917233,7.82591466518,1.44892196116065,0.149417418174684,0.276244661242575,-5.73327548996555
"20897","6281",-0.306063487867014,10.10083242686,-1.44868947460332,0.149482276264506,0.2763449657475,-5.73360553244606
"20415","6157",0.0433226527239849,11.8707723748667,1.44834525831278,0.149578344065897,0.276502948713429,-5.73409409407433
"13830","646548",0.0728577826564853,5.55685869281333,1.4482561007445,0.149603234930231,0.276529344520279,-5.73422062100357
"13016","391132",0.0756148408637998,8.3274672854,1.44808060646562,0.149652238459789,0.276588765201059,-5.73446964954666
"20688","100131787",0.0853390106737599,9.98211787171333,1.44806088602713,0.149657745800125,0.276588765201059,-5.7344976312576
"953","8289",0.08364996223583,8.9639491367,1.44802694988589,0.14966722353506,0.276588765201059,-5.73454578303612
"4908","90957",0.0747781440008062,6.85056903518667,1.44792239705244,0.149696426109697,0.276623115018621,-5.73469412549891
"1812","83695",0.0425301357613499,11.0008954974,1.4477605790784,0.149741632023179,0.276687030340497,-5.73492369679665
"9131","23349",0.123383755296103,6.75832159381333,1.44743252320912,0.149833310884442,0.276821508550431,-5.73538903337009
"19496","9545",0.115238929453186,9.20222874292667,1.44742413114893,0.149835656706083,0.276821508550431,-5.73540093588909
"11228","100131864",0.199053942871027,8.05045370150667,1.4472027520971,0.149897548721509,0.276916221617312,-5.73571489514587
"18369","8929",0.113311951050622,6.71181958076667,1.44705154628213,0.14993983338244,0.276974701787269,-5.73592930803886
"6213","84188",-0.192669071620335,7.74012814818,-1.44696298875582,0.149964602734231,0.277000820998818,-5.73605487427921
"13804","646272",0.150734977118121,5.92070920824667,1.44685618954049,0.149994478439946,0.277036367826675,-5.73620629557732
"25075","7512",0.131810329216957,6.88656872360667,1.44675216081465,0.150023583544161,0.277070486433544,-5.73635377838983
"18680","57469",0.118718434941743,7.3460409908,1.44649948735098,0.150094294511452,0.277167389034258,-5.73671195374308
"24040","11078",0.0644590311920421,9.03673579484667,1.44642615742149,0.150114820783815,0.277167389034258,-5.7368158906382
"8573","53832",-0.153739915394538,7.15423815662,-1.44642148416931,0.150116128978451,0.277167389034258,-5.73682251427182
"14587","728775",0.131106635494176,7.80605149563333,1.44641266644617,0.150118597368645,0.277167389034258,-5.73683501201432
"13388","642335",-0.122582127667334,8.96822313437333,-1.4463419585152,0.150138392130612,0.277184297593455,-5.73693522676073
"18306","55276",-0.14959902210647,8.34454968611333,-1.44628221488824,0.150155118990528,0.27719554022203,-5.73701989802416
"15730","125997",0.131501548847726,6.71716080948,1.44620162950053,0.150177683343986,0.277217556864838,-5.73713410174793
"15963","90768",0.114113384253915,6.48689325412,1.44594395060892,0.150249852381347,0.277316417369242,-5.73749923670447
"14116","652779",0.181970536333466,5.89041879809333,1.4459344170211,0.150252522999207,0.277316417369242,-5.73751274473133
"14230","723972",-0.100921623595015,8.45919741741333,-1.44584422942788,0.150277788811409,0.277331067281302,-5.73764052617084
"11100","100131518",0.11036039031177,7.72540209104,1.44583010755737,0.150281745311765,0.277331067281302,-5.73766053390778
"14874","729603",-0.0544965370361616,9.66917239571333,-1.44575182056889,0.150303680298622,0.277351905176447,-5.73777144674957
"17023","8602",0.0807268092422628,8.28967674822667,1.44563364184915,0.150336797094763,0.27738634495748,-5.73793886501124
"20993","6309",-0.0609558139252737,11.7515253862667,-1.44560423113647,0.150345039625699,0.27738634495748,-5.73798052772314
"13342","541471",0.140318562290474,8.22544396174,1.44555645330776,0.150358430394304,0.27738634495748,-5.73804820721977
"12261","100134256",-0.187280250056251,9.15332152973333,-1.44550435591754,0.15037303285997,0.27738634495748,-5.73812200309502
"17726","130075",0.105513501406588,5.54019536447333,1.44549531594991,0.150375566798968,0.27738634495748,-5.73813480793226
"14970","729870",0.110375715345916,6.53101598144,1.44544587446205,0.150389426026942,0.27739227440799,-5.73820483890765
"23368","10431",-0.116242587405381,9.19762712638667,-1.445280315013,0.150435842109654,0.277458249666323,-5.73843932722091
"12231","100134199",0.143060519494574,6.51549996574667,1.44520512229848,0.150456926706482,0.277477498446158,-5.73854581697275
"10577","100130082",-0.126497433379671,5.71604710152,-1.44509279604032,0.150488428063393,0.27751595406581,-5.73870488611559
"10213","100128919",0.0653141077979136,9.58638141526,1.44472768888278,0.150590855681339,0.277685190220777,-5.73922184406661
