"gene","found_in_expression"
"FOLH1",TRUE
"KLK3",TRUE
"AR",TRUE
"NKX3-1",TRUE
"TMPRSS2",TRUE
"AMACR",TRUE
"ERG",TRUE
"MKI67",TRUE
"CDH1",TRUE
"VIM",TRUE
"AURKA",TRUE
"BRCA1",TRUE
"BRCA2",TRUE
"MYC",TRUE
"TP53",TRUE
"PTEN",TRUE
"RB1",TRUE
"TTF1",TRUE
"INSM1",TRUE
"NKX2-1",TRUE
"ACP3",FALSE
"CHGA",TRUE
"CHGB",TRUE
"TFRC",TRUE
"NCAM1",TRUE
"SCG2",TRUE
"SYP",TRUE
