"gene_id","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206","72",-3.96492848957412,11.0968375713333,-24.9987904577152,9.61597331289414e-56,2.50582648560708e-51,114.130889050847
"16467","4629",-3.78292491755324,10.5735311327333,-20.8978711646374,1.45526204826235e-46,1.89613368578343e-42,94.0669729751652
"3969","1264",-2.79615812439976,9.53942104299333,-17.9586074954946,2.01609146099695e-39,1.75124424607065e-35,78.2784228285873
"200","59",-2.61244555903095,11.8902138597467,-16.8882993557277,1.03950416029161e-36,6.77210972825977e-33,72.2490169565891
"22972","6876",-2.49641450688871,10.5641295088933,-16.4011947161714,1.85945936976441e-35,9.69113034333815e-32,69.4593149713535
"16491","10398",-1.80461039071956,10.3584815745267,-14.3997137012851,3.30975327710201e-30,1.43748101080002e-26,57.7340098840119
"14838","729468",-2.75128852817115,9.65395920348,-13.9959617352789,3.94222065665426e-29,1.46757611559648e-25,55.3256964203158
"18099","5121",-2.31815956439614,8.66910091552,-13.6271205631253,3.82253403259576e-28,1.24514267944266e-24,53.1159427072796
"22343","10580",-2.24347308099839,8.95888619196667,-13.3392678093054,2.26148333817724e-27,6.54799936772896e-24,51.385898627801
"4840","1674",-1.79080125677662,10.1231933912867,-13.3099560085018,2.71080454519796e-27,7.06408556433136e-24,51.2094908957675
"22892","23336",-1.81394668982121,9.4347588229,-13.0852922515554,1.08846679323976e-26,2.57857783318498e-23,49.8560898159118
"18309","5239",-2.11814803844556,8.66859581859333,-12.9045082497245,3.33545068156957e-26,7.24320910925179e-23,48.7655271732646
"15855","4212",-1.94217001519606,8.03832358411333,-12.8262422711196,5.41786325485608e-26,1.0860315273715e-22,48.293036380417
"16493","4638",-1.65541548557091,9.27280244496,-12.8019194136765,6.29960107397549e-26,1.17258074561948e-22,48.1461596091413
"3729","91851",-2.29939654622339,8.656254249,-12.7446045557176,8.98766489740544e-26,1.56139706374326e-22,47.7999858632985
"4337","1465",-2.06862551049618,10.5850247485,-12.440726503834,5.92046401824048e-25,9.64258574070804e-22,45.9632145619819
"723","54443",1.04036430417195,5.82425118409333,12.0233083089372,7.89853118650869e-24,1.21075190699547e-20,43.4378708759589
"9842","25802",-1.58752705662274,8.94377340590667,-11.7959264134489,3.23858591678136e-23,4.44180581081081e-20,42.0620807562762
"18310","595135",-1.54420394494174,8.75668609226667,-11.7136824042423,5.39424081683751e-23,7.02842607229844e-20,41.5645680829633
"23816","7145",-1.72906942890639,9.74572837928,-11.6625390856099,7.40777021446006e-23,9.19233733421974e-20,41.2552391217574
"11067","100131438",-2.13114762951105,9.96558500158,-11.6227611215424,9.48012645146044e-23,1.12292097817549e-19,41.0146816714532
"6678","2316",-1.98354978544597,10.7445396861667,-11.5186887570742,1.8072209216213e-22,2.04758130419694e-19,40.3854539748308
"15854","4211",-1.65488113419968,8.19970833978,-11.4850804099478,2.22570675324821e-22,2.41665384512063e-19,40.1823090968168
"6423","2273",-1.90634298828646,8.4411021747,-11.3418977853517,5.40337566916929e-22,5.6322626625153e-19,39.3171948195268
"508","8854",-1.32129434609923,7.79976767759333,-11.3287169888069,5.86285206537982e-22,5.87615622968202e-19,39.237587773773
"18149","8654",-2.15317095825272,7.57972531226,-11.2526939538725,9.38599925884524e-22,9.05887980319437e-19,38.7785552936601
"23910","22974",1.16708473401205,6.22361571617333,11.199911987163,1.30110379313659e-21,1.21090941947666e-18,38.4599807187907
"23885","7169",-1.5547018167738,9.31165534166667,-11.1706313164612,1.55944279325665e-21,1.40129378446466e-18,38.2833003330578
"4000","1272",-1.77559795068743,7.23471445746,-11.0935942946278,2.51091771478623e-21,2.14138020145476e-18,37.8186323212513
"22421","8404",-1.89815897402973,9.49497905993333,-11.0912603449122,2.54740344008203e-21,2.14138020145476e-18,37.8045586717806
"1299","563",-2.18817203083367,11.1082328167,-11.022794164491,3.88896450737458e-21,3.16695394055231e-18,37.3918246622881
"22503","50859",-1.50954915392325,7.4596565379,-10.7790584495748,1.74976869514736e-20,1.3817340129347e-17,35.9245427086106
"23884","7168",-1.34913163493291,10.1993485199467,-10.6459510875595,3.97156954760173e-20,2.79716569840415e-17,35.1247882466226
"16016","4288",1.02762296564082,6.40813408453333,10.6195678740139,4.6714830331537e-20,3.20353095686717e-17,34.9664152190322
"21399","6451",-1.58229035362435,9.12876584372667,-10.4470095489253,1.34870982662392e-19,8.78650734299816e-17,33.9318906968769
"16525","93649",-1.45752752770711,7.57177375051333,-10.4374256896308,1.43041163863968e-19,9.09148704666134e-17,33.8745035905929
"2935","800",-1.36949986725151,9.65908006854,-10.1881348632063,6.58525606831932e-19,3.81344861965185e-16,32.3846629236445
"22468","23111",-1.30698599144234,7.145464535,-10.152145194949,8.20514870863419e-19,4.54931851485741e-16,32.1700687098036
"23842","7153",1.3982498504086,5.90756453304667,10.099053021831,1.13470006429603e-18,6.03452019907962e-16,31.8537417916832
"16305","4477",-3.16961683717838,11.5171314604867,-9.89710732455832,3.88306097188124e-18,1.90922048804251e-15,30.6533565936091
"9001","3779",-1.24670771307152,8.92398660643333,-9.88355166254418,4.21662012827992e-18,2.03483155412679e-15,30.5729493170606
"23137","6943",-1.28210392971956,7.84081927625333,-9.8708875249758,4.55399021052545e-18,2.15768056174696e-15,30.4978503106415
"16832","91624",-1.32085578022258,6.70405786697333,-9.66439917577009,1.59285471031583e-17,6.91803348268668e-15,29.2762220484478
"12371","100134430",-1.12389405154078,8.98288837676667,-9.64616765298781,1.77856786386969e-17,7.59798360075086e-15,29.1686308851321
"6680","2318",-1.26047630912616,8.7882075439,-9.61651600908647,2.1277600709677e-17,8.94311285312053e-15,28.9937432583982
"24068","7223",-1.20277541508156,6.36869033934667,-9.24041634349186,2.04392817249993e-16,7.00825319041787e-14,26.7868147056749
"8011","8358",1.4974159907513,6.6702044712,9.23609380541919,2.0974972238247e-16,7.09852989034388e-14,26.7615809802007
"175","55",-1.8486216723865,11.7250263705333,-9.22630036876045,2.22409255414442e-16,7.29845189100246e-14,26.7044214097607
"22561","6716",-1.158205401773,7.73284882884667,-9.20846351846886,2.47451260837595e-16,7.96090420514429e-14,26.6003581429028
"752","306",-1.37373806596383,8.14402532990667,-9.18231537921013,2.89317759011452e-16,9.08353190611978e-14,26.447903815774
"18378","51050",-2.58791314473966,8.42829721802,-9.13901274755518,3.74700260467565e-16,1.16241834375289e-13,26.1956926454418
"5357","1909",-1.36031650200683,8.12253211803333,-9.08529036334833,5.16200462641429e-16,1.54616871907736e-13,25.8832534429422
"21869","6546",-1.23820354086461,7.48035146132,-9.06233426778377,5.91838884056304e-16,1.75258289541173e-13,25.7499035075765
"14104","652708",-1.35233944337726,7.64669844209333,-8.87956678881004,1.75181922043631e-15,4.90867280272579e-13,24.6917378308046
