"PIP5K1A","sample","subtype","expr_group"
11.9172160091288,"TCGA-FB-AAPU-01A-31R-A41B-07","Classical-like","High"
11.5409956882211,"TCGA-HZ-A8P0-01A-11R-A36G-07","Classical-like","High"
10.9934924020753,"TCGA-IB-A5SO-01A-11R-A32O-07","Classical-like","Low"
10.8446394512698,"TCGA-IB-7649-01A-11R-2156-07","Classical-like","Low"
11.553632308487,"TCGA-FB-AAQ6-01A-11R-A41B-07","Classical-like","High"
11.1975665173351,"TCGA-IB-7886-01A-11R-2156-07","Classical-like","Low"
11.2138538760305,"TCGA-HV-AA8X-01A-11R-A39D-07","Classical-like","High"
11.6769601720927,"TCGA-S4-A8RM-01A-11R-A37L-07","Classical-like","High"
11.5311991018022,"TCGA-IB-AAUU-01A-11R-A37L-07","Classical-like","High"
11.4783315090941,"TCGA-HZ-7919-01A-11R-2156-07","Classical-like","High"
11.0186135413469,"TCGA-IB-7652-01A-11R-2156-07","Classical-like","Low"
11.1327951989102,"TCGA-HV-A5A5-01A-11R-A26U-07","Classical-like","Low"
10.6784347292867,"TCGA-2L-AAQL-01A-11R-A38C-07","Classical-like","Low"
10.8982951720408,"TCGA-HZ-A49H-01A-11R-A26U-07","Classical-like","Low"
11.4420596018119,"TCGA-F2-A44G-01A-11R-A26U-07","Classical-like","High"
11.1367557181568,"TCGA-Q3-AA2A-01A-11R-A37L-07","Classical-like","Low"
10.9700447270225,"TCGA-HZ-A49G-01A-11R-A26U-07","Classical-like","Low"
11.4170827991869,"TCGA-3A-A9IC-01A-11R-A38C-07","Classical-like","High"
11.1710009035078,"TCGA-HZ-8003-01A-21R-2204-07","Classical-like","Low"
11.0203608470946,"TCGA-2J-AAB1-01A-11R-A41B-07","Classical-like","Low"
11.33277187054,"TCGA-Z5-AAPL-01A-12R-A41B-07","Classical-like","High"
11.3300751502802,"TCGA-HZ-7922-01A-11R-2156-07","Classical-like","High"
10.9125324177464,"TCGA-IB-AAUT-01A-11R-A37L-07","Classical-like","Low"
10.9869722722505,"TCGA-F2-6879-01A-11R-2156-07","Classical-like","Low"
11.0473627891331,"TCGA-FB-A4P6-01A-12R-A26U-07","Classical-like","Low"
11.438918528189,"TCGA-HZ-A9TJ-01A-11R-A41I-07","Classical-like","High"
11.2327573321916,"TCGA-HZ-8317-01A-11R-2404-07","Classical-like","High"
11.5241555112155,"TCGA-2J-AABH-01A-21R-A41B-07","Classical-like","High"
11.090333088321,"TCGA-3A-A9J0-01A-11R-A41B-07","Classical-like","Low"
11.2879504235417,"TCGA-IB-7891-01A-11R-2204-07","Classical-like","High"
10.9449548588383,"TCGA-IB-A5SP-01A-11R-A32O-07","Classical-like","Low"
11.5473211903583,"TCGA-YY-A8LH-01A-11R-A36G-07","Classical-like","High"
11.1544917950467,"TCGA-2L-AAQJ-01A-12R-A39D-07","Classical-like","Low"
11.242222122997,"TCGA-XD-AAUG-01A-61R-A41B-07","Classical-like","High"
10.5166291232254,"TCGA-HV-A7OL-01A-11R-A33R-07","Classical-like","Low"
11.1616939757864,"TCGA-HZ-8637-01A-11R-2404-07","Classical-like","Low"
11.4152301203685,"TCGA-FB-A78T-01A-12R-A32O-07","Classical-like","High"
11.3744602484387,"TCGA-IB-7647-01A-11R-2156-07","Classical-like","High"
11.6724893040625,"TCGA-2L-AAQA-01A-21R-A38C-07","Classical-like","High"
11.3800520676664,"TCGA-2J-AABK-01A-31R-A41B-07","Classical-like","High"
11.4854337802529,"TCGA-HV-A5A4-01A-11R-A26U-07","Classical-like","High"
11.6648768266657,"TCGA-IB-7651-01A-11R-2156-07","Classical-like","High"
11.6175481339656,"TCGA-HZ-8636-01A-21R-2404-07","Classical-like","High"
11.2043363275436,"TCGA-US-A774-01A-21R-A32O-07","Classical-like","High"
10.8891658023181,"TCGA-HZ-A49I-01A-12R-A26U-07","Classical-like","Low"
11.8162030115881,"TCGA-HZ-7926-01A-11R-2156-07","Classical-like","High"
11.5677931628658,"TCGA-2J-AAB8-01A-12R-A41B-07","Classical-like","High"
11.2168420959172,"TCGA-2J-AABT-01A-11R-A41B-07","Classical-like","High"
11.1208130181651,"TCGA-2J-AAB4-01A-12R-A41B-07","Classical-like","Low"
10.7250644024607,"TCGA-3A-A9I9-01A-11R-A38C-07","Classical-like","Low"
11.3080575241376,"TCGA-IB-8126-01A-11R-2404-07","Classical-like","High"
11.0803347517434,"TCGA-HZ-A4BK-01A-11R-A26U-07","Classical-like","Low"
10.7647988942267,"TCGA-FB-AAQ3-01A-11R-A41B-07","Classical-like","Low"
11.0751302064801,"TCGA-H6-A45N-01A-11R-A26U-07","Classical-like","Low"
11.2332140384681,"TCGA-3A-A9I5-01A-11R-A38C-07","Classical-like","High"
11.6137556575719,"TCGA-FB-AAQ0-01A-31R-A41B-07","Classical-like","High"
11.4227207953691,"TCGA-3E-AAAZ-01A-11R-A38C-07","Classical-like","High"
11.0960955999448,"TCGA-3E-AAAY-01A-11R-A38C-07","Classical-like","Low"
10.8783097822864,"TCGA-YB-A89D-01A-12R-A36G-07","Classical-like","Low"
11.1779812084345,"TCGA-S4-A8RP-01A-11R-A36G-07","Classical-like","Low"
11.7666948355328,"TCGA-FB-AAPQ-01A-11R-A41B-07","Classical-like","High"
11.7690227049941,"TCGA-LB-A8F3-01A-11R-A36G-07","Classical-like","High"
11.6668634036769,"TCGA-IB-7888-01A-11R-2156-07","Classical-like","High"
10.9183264660519,"TCGA-IB-AAUP-01A-11R-A37L-07","Classical-like","Low"
10.921375632393,"TCGA-RB-A7B8-01A-12R-A33R-07","Classical-like","Low"
11.2584265039199,"TCGA-IB-A5ST-01A-11R-A32O-07","Classical-like","High"
11.0515322737845,"TCGA-IB-AAUM-01A-11R-A37L-07","Classical-like","Low"
11.0641913247975,"TCGA-US-A779-01A-11R-A32O-07","Classical-like","Low"
10.0931369025444,"TCGA-2J-AABV-01A-12R-A41B-07","Classical-like","Low"
11.2485339923384,"TCGA-2J-AABA-01A-21R-A41B-07","Classical-like","High"
11.1219009111327,"TCGA-US-A77G-01A-11R-A32O-07","Classical-like","Low"
10.9359797443251,"TCGA-IB-7644-01A-11R-2156-07","Classical-like","Low"
11.1841478901927,"TCGA-HV-A5A6-01A-11R-A26U-07","Classical-like","Low"
11.2682344578518,"TCGA-F2-A44H-01A-11R-A26U-07","Classical-like","High"
10.5507971421662,"TCGA-OE-A75W-01A-12R-A32O-07","Classical-like","Low"
10.5239009577661,"TCGA-US-A776-01A-13R-A33R-07","Classical-like","Low"
