"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000266994.1",-0.0296887730319657,0.507323551346969,0.657415242501438,"AC020663.1"
"ENSG00000248257.7",-0.0296939345595807,0.50724969847485,0.657364458561984,"PSG10P"
"ENSG00000177738.4",-0.0296947661514473,0.507237800305515,0.657364013047418,"AC025171.1"
"ENSG00000206658.1",-0.0296970886495259,0.50720457146718,0.6573508971817,"RNU6-1039P"
"ENSG00000273117.1",-0.0297090616998942,0.507033286699414,0.657188790727429,"AC144652.1"
"ENSG00000207121.1",-0.0297120188648392,0.506990986581813,0.657148934900761,"RNU6-1230P"
"ENSG00000165288.11",-0.0297181139345813,0.50690380682535,0.657095816302824,"BRWD3"
"ENSG00000236109.2",-0.0297252387512184,0.506801908223117,0.656993664742129,"AC013402.3"
"ENSG00000215319.2",-0.0297262945096945,0.506786809756376,0.656993664742129,"EIF5P1"
"ENSG00000181788.4",-0.0297365953345078,0.506639509398485,0.656877308066751,"SIAH2"
"ENSG00000122194.19",-0.0297374647230516,0.506627078290539,0.656877308066751,"PLG"
"ENSG00000255116.2",-0.0297615817136425,0.506282300915065,0.656529504386771,"SLC5A4P1"
"ENSG00000207394.1",-0.029766810872763,0.506207560900331,0.656462509682992,"RNU6-1060P"
"ENSG00000233204.1",-0.0297747372750402,0.506094280407287,0.656345526344611,"MAPRE1P3"
"ENSG00000234892.1",-0.0297754172593607,0.506084563003672,0.656345526344611,"Z82214.1"
"ENSG00000262471.1",-0.029776697249166,0.506066271409817,0.656339124611182,"AC009171.1"
"ENSG00000136839.1",-0.029788156895766,0.505902523681479,0.656156668866076,"OR13C9"
"ENSG00000275312.1",-0.0297911665646843,0.505859522911835,0.65611585439137,"AL512324.3"
"ENSG00000248545.3",-0.0297966659473797,0.505780955207141,0.656043862217862,"AC105290.1"
"ENSG00000257323.1",-0.0297986289490876,0.505752912057917,0.656022444214931,"AC123904.2"
"ENSG00000239642.6",-0.0298037672430357,0.505679511021416,0.65595714495409,"MEIKIN"
"ENSG00000286263.1",-0.0298038699169082,0.505678044371985,0.65595714495409,"AL391832.4"
"ENSG00000235833.1",-0.0298057446405926,0.505651265191915,0.655950416822026,"AC017099.1"
"ENSG00000257954.1",-0.029808925903066,0.505605824678074,0.655921381448174,"AC125611.2"
"ENSG00000222678.1",-0.0298164363406587,0.505498555600713,0.655834216394433,"RN7SKP213"
"ENSG00000170983.4",-0.0298168936424726,0.505492024497193,0.655834216394433,"LINC00208"
"ENSG00000252462.1",-0.0298189125214421,0.505463191754775,0.655832890484649,"RNU6-113P"
"ENSG00000239281.2",-0.029821477097224,0.505426566855282,0.655823419880892,"RPS29P2"
"ENSG00000206858.1",-0.0298255520555759,0.50536837493468,0.655777824905546,"Y_RNA"
"ENSG00000227738.1",-0.0298295512350925,0.505311268584564,0.655718678091865,"PSMD14P1"
"ENSG00000250514.1",-0.0298324231477128,0.505270261151277,0.655680419864048,"LINC02125"
"ENSG00000249413.2",-0.0298360829383449,0.505218006306999,0.655627563988597,"AC116049.1"
"ENSG00000222412.1",-0.0298363699988794,0.505213907748989,0.655627563988597,"Y_RNA"
"ENSG00000225284.1",-0.0298467578780516,0.505065604700283,0.65547464410359,"AC018693.1"
"ENSG00000121644.19",-0.0298498731777251,0.50502113343479,0.655431880477804,"DESI2"
"ENSG00000141665.13",-0.0298534609769477,0.504969919732,0.655380364159885,"FBXO15"
"ENSG00000226861.1",-0.0298539390677425,0.504963095475907,0.655380364159885,"AL390835.1"
"ENSG00000110079.18",-0.0298690944662575,0.504746792809425,0.655150558571515,"MS4A4A"
"ENSG00000236266.1",-0.0298718234786216,0.504707848651257,0.655114955928817,"Z98884.1"
"ENSG00000256281.1",-0.0298794466117807,0.504599071691083,0.655033540642088,"AP003174.2"
"ENSG00000244071.1",-0.0298845673566578,0.504526009040939,0.654968584880004,"RPL9P33"
"ENSG00000273566.1",-0.0298884978583211,0.504469932521721,0.654910730899924,"Metazoa_SRP"
