"group","n","mean_FOLH1_log2_FPKM","sd_FOLH1_log2_FPKM","median_FOLH1_log2_FPKM","min_FOLH1_log2_FPKM","max_FOLH1_log2_FPKM"
"Low",18,7.12510918386437,3.15219764339535,8.63556414212784,0.528476754987785,10.3337910797385
"Intermediate",64,5.9060586428929,2.88509096153729,6.24922991554573,0.494383871269519,10.3233471180381
"High",134,6.55022159591662,2.56424444998514,7.21688933102589,0.266797245227556,11.1889872137463
