"gene_symbol","WT2921C_OE","WT2910C_OE","WT2898C_OE","WT2965C_OE","KO2912C_OE","KO2918C_OE","KO2960C_OE","KO2913C_OE","C2890WT","C2917WT","C2893WT","WT2868C","WT2881C","WT2882C","KO2868C","KO2881C","KO2882C"
"0610005C13Rik",0,5.96052049519399,1.72512361571435,4.38151320308779,2.17104310150652,0,0,1.02208031426658,4.20759210918673,1.11348845164105,5.03138785981684,4.68879090145795,1.0998949225412,2.32151878314958,3.2542699343271,0,0
"0610009E02Rik",8.70187108069234,9.93420082532332,5.17537084714304,4.38151320308779,5.4276077537663,6.18199964055424,4.51814969236251,2.04416062853316,3.36607368734938,6.68093070984627,5.03138785981684,1.17219772536449,15.3985289155768,16.2506314820471,4.06783741790888,3.31291443159444,5.6472938370324
"0610009L18Rik",13.0528066210385,2.980260247597,18.1137979650006,22.7838686560565,15.1973017105456,10.3033327342571,21.4612110387219,38.83905194213,26.9285894987951,38.9720958074366,23.0006302163056,51.5766999160375,40.6961121340245,25.5367066146454,26.8477269581986,26.5033154527555,14.118234592581
"0610025J13Rik",0,0,0.862561807857174,0,0,0,0,0,0,0,0.718769694259549,0,0,0,0.813567483581776,1.10430481053148,0
"0610030E20Rik",435.093554034617,365.578590371898,398.503555230014,379.439043387403,454.833529765616,420.375975557688,384.042723850813,475.267346133959,362.694439811896,391.947934977648,362.978695601072,432.540960659496,410.260806107869,457.339200280468,507.666109755028,461.599410802159,477.196329229238
"0610039K10Rik",6.52640331051925,1.98684016506466,9.48817988642891,5.25781584370535,1.08552155075326,7.21233291397995,4.51814969236251,13.2870440854655,4.20759210918673,7.79441916148732,5.03138785981684,12.8941749790094,8.79915938032962,5.80379695787396,7.32210735223599,11.0430481053148,0
"0610040F04Rik",0,0,0.862561807857174,0,2.17104310150652,0,1.12953742309063,0,4.20759210918673,0,0.718769694259549,0,3.29968476762361,2.32151878314958,9.76280980298131,3.31291443159444,1.8824312790108
"0610043K17Rik",0,0,1.72512361571435,0.876302640617558,0,0,10.1658368078156,3.06624094279973,0,2.22697690328209,3.59384847129774,3.51659317609346,0,0,0.813567483581776,2.20860962106296,1.8824312790108
"1110002E22Rik",3.26320165525963,14.901301237985,2.58768542357152,7.88672376555802,3.25656465225978,13.3943325545342,15.8135239232688,31.6844897422639,0.841518421837346,17.8158152262567,5.03138785981684,18.7551636058318,8.79915938032962,12.7683533073227,18.7120521223809,5.5215240526574,3.7648625580216
"1110002J07Rik",5.43866942543271,5.96052049519399,8.62561807857174,7.01042112494047,8.68417240602608,7.21233291397995,12.4249116539969,25.5520078566644,18.5134052804216,1.11348845164105,6.46892724833594,5.86098862682244,1.0998949225412,2.32151878314958,2.44070245074533,1.10430481053148,4.706078197527
"1110002L01Rik",20.6669438166443,46.6907438790196,86.2561807857173,63.9700927650818,33.6511680733511,47.3953305775825,41.7928846543532,25.5520078566644,106.031321151506,72.3767493566679,99.9089875020773,24.6161522326542,38.4963222889421,35.9835411388185,54.509021399979,51.9023260949795,28.236469185162
"1110002O04Rik",0,0,0,1.75260528123512,1.08552155075326,0,2.25907484618125,1.02208031426658,0.841518421837346,0,2.15630908277865,0,0,0,0.813567483581776,0,1.8824312790108
"1110004F10Rik",2359.29479675271,2461.69496451512,2673.94160435724,2744.57987041419,2583.54129079276,2915.84316379475,2617.13820930098,2423.35242512606,2414.31635225134,2792.62903671574,2241.12390670127,2201.38732823451,2467.06431125992,2256.51625722139,2670.12848111539,2883.33986029769,2524.34034515348
"1110006O24Rik",33.7197504376828,23.842081980776,18.9763597728578,17.5260528123512,14.1117801597924,13.3943325545342,29.3679730003563,20.4416062853316,25.2455526551204,6.68093070984627,20.8443211335269,73.8484566979627,52.7949562819777,38.3050599219681,32.5426993432711,24.2947058316926,30.1189004641728
"1110015O18Rik",0,0,0,0,0,0,0,0,2.52455526551204,0,0,0,0,0,1.62713496716355,0,0
"1110018N20Rik",1.08773388508654,0,0.862561807857174,0,0,1.03033327342571,0,7.15456219986604,6.73214737469876,0,0,2.34439545072898,0,0,1.62713496716355,0,0
"1110019D14Rik",84.8432430367503,64.5723053646016,81.9433717464315,61.3411848432291,53.1905559869097,64.9109962258195,103.917442924338,88.9209873411923,63.9554000596383,48.993491872206,51.7514179866875,125.425156614,57.1945359721425,119.558217332203,113.899447701449,87.2400800319869,117.651954938175
"1110020A21Rik",29.3688148973366,19.8684016506466,7.76305627071456,9.63932904679314,9.76969395677934,24.727998562217,12.4249116539969,14.3091243997321,5.89062895286142,7.79441916148732,7.18769694259549,31.6493385848412,15.3985289155768,8.12531574102354,8.13567483581776,16.5645721579722,8.4709407555486
"1110028F18Rik",1.08773388508654,0.993420082532332,0,0,0,0,1.12953742309063,0,0,0,0,0,0,0,0.813567483581776,0,0
"1110032F04Rik",1.08773388508654,4.96710041266166,2.58768542357152,1.75260528123512,0,1.03033327342571,0,24.5299275423979,5.89062895286142,5.56744225820523,1.4375393885191,2.34439545072898,1.0998949225412,1.16075939157479,10.5763772865631,5.5215240526574,1.8824312790108
"1110038B12Rik",1742.54968390864,1149.38703548991,1386.13682522648,1550.17937125246,1596.80220115805,1416.70825096035,1526.00505859544,1771.26518462398,1683.03684367469,1458.66987164977,1222.62724993549,2878.91761349518,2833.32932046614,2724.30229202604,1901.30720913061,1575.84296462842,1953.02245197371
"1110038F14Rik",648.289395511579,611.946770839917,707.300682442882,723.825981150103,662.168145959489,698.565959382629,674.333841585105,742.030308157536,689.203587484786,654.731209564935,623.173324923029,650.569737577291,720.431174264488,706.902469469048,890.856394522045,768.59614812991,838.623134799312
"1110046J04Rik",93.5451141174426,93.3814877580393,100.919731519289,100.774803671019,86.8417240602608,129.821992451639,98.2697558088846,94.0313889125252,68.162992168825,102.440937550976,74.0332785087335,106.669993008168,105.589912563955,116.075939157479,134.238634790993,152.394063853344,118.59317057768
"1110059E24Rik",938.714342829686,747.051902064314,899.651965595032,840.374232352238,848.877852689049,759.355622514746,781.639896778714,758.383593185801,823.005016556924,952.032626153094,707.269379151396,870.942909945814,889.814992335833,941.375866567156,792.41472900865,803.933902066917,910.155523401722
"1110059G10Rik",820.151349355253,436.111416231694,444.219331046444,520.52376852683,589.43820205902,634.685296430235,591.877609699489,741.008227843269,331.558258203914,420.898634720315,279.601411066964,717.385007923066,584.044203869379,660.472093806056,612.616315137078,466.016630044284,614.613812597026
"1110065P20Rik",500.357587139809,333.789147730864,317.42274529144,390.830977715431,351.708982444056,370.919978433254,380.654111581541,449.715338277294,288.64081869021,360.770258331699,351.478380492919,500.528428730636,590.643573404626,506.091094726609,340.071208137182,286.014945927653,406.605156266333
"1300002E11Rik",83.7555091516637,70.5328258597956,84.531057170003,81.4961455774329,57.5326421899228,78.3053287803537,126.50819138615,113.45091488359,72.3705842780117,77.9441916148732,70.4394300374358,82.0538407755141,58.2944308946837,75.4493604523614,112.272312734285,69.5712030634832,75.297251160432
"1500002C15Rik",112.036590163914,81.4604467676513,74.1803154757169,85.0013561399032,70.5589007989619,42.243664210454,64.3836331161658,44.9715338277294,73.2121026998491,65.6958186468217,69.7206603431762,92.6036203037945,111.089387176661,118.397457940629,48.8140490149066,39.7549731791333,42.354703777743
"1500004A13Rik",77.2291058411445,123.184090234009,87.1187425935745,112.166737999047,120.492892133612,114.366993350253,159.264776655778,128.782119597589,127.910800119277,86.8520992280015,133.691163132276,117.219772536449,103.390122718873,96.3430295007077,139.120039692484,150.185454232281,83.7681919159806
"1500009L16Rik",51.1234925990675,51.6578442916813,65.5546973971452,54.3307637182886,128.091542988885,114.366993350253,88.1039190010689,100.163870798125,54.6986974194275,36.7451189041545,38.0947937957561,24.6161522326542,21.9978984508241,29.0189847893698,43.1190766298341,30.9205346948814,48.0019976147754
"1500011B03Rik",623.271516154589,412.269334250918,476.996679745017,519.647465886212,448.320400461096,428.618641745094,527.493976583323,554.989610646752,463.676650432377,562.311668078728,532.608343446326,734.967973803534,754.527916863265,735.921454258418,451.529953387886,399.758341412396,480.96119178726
"1500015A07Rik",105.510186853395,58.6117848694076,62.9670119735737,70.9805138900222,68.3878576974554,61.8199964055424,101.658368078156,105.274272369458,62.2723632159636,106.89489135754,92.0025208652222,177.001856530038,94.5909633385434,133.487330031101,102.509502931304,47.4851068528536,82.8269762764752
"1500015L24Rik",0,0,0.862561807857174,0.876302640617558,0,2.06066654685141,9.03629938472502,4.08832125706631,0,0,0,3.51659317609346,0,0,2.44070245074533,2.20860962106296,0
"1500026H17Rik",3.26320165525963,0,4.31280903928587,0.876302640617558,2.17104310150652,10.3033327342571,0,2.04416062853316,0.841518421837346,3.34046535492314,7.18769694259549,4.68879090145795,1.0998949225412,1.16075939157479,0,1.10430481053148,2.8236469185162
"1600002D24Rik",4.35093554034617,0,1.72512361571435,2.62890792185267,1.08552155075326,5.15166636712853,1.12953742309063,2.04416062853316,0,1.11348845164105,1.4375393885191,1.17219772536449,0,1.16075939157479,0,1.10430481053148,0.9412156395054
"1600010M07Rik",13.0528066210385,8.94078074279099,9.48817988642891,15.773447531116,6.51312930451956,38.1223311167511,40.6633472312626,44.9715338277294,8.41518421837346,7.79441916148732,4.31261816555729,12.8941749790094,5.49947461270601,9.28607513259833,21.1527545731262,11.0430481053148,16.0006658715918
"1600012H06Rik",1752.33928887442,1188.13041870867,1100.62886682575,1175.99814370876,1253.77739112002,1118.94193494032,1108.07621205191,1205.0326905203,1030.01854832891,1127.96380151238,1146.43766234398,1468.7637498817,1366.06949379617,1515.95176539668,1096.68896786823,978.414062130891,1192.52021525334
"1600014C10Rik",450.321828425828,335.775987895928,375.21438641787,365.418201137522,492.82678404198,359.586312425572,521.84628946787,429.273731991963,427.491358293372,465.438172785957,285.351568621041,376.275469842001,332.168266607443,331.97718599039,558.107293737099,537.796442728831,501.667935856378
"1600014C23Rik",2.17546777017308,0,0,0.876302640617558,0,1.03033327342571,0,4.08832125706631,1.68303684367469,6.68093070984627,3.59384847129774,5.86098862682244,3.29968476762361,1.16075939157479,2.44070245074533,0,0
"1600019K03Rik",1.08773388508654,0,4.31280903928587,0,0,0,3.38861226927188,0,0,0,0,0,1.0998949225412,1.16075939157479,0,2.20860962106296,0
