"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE","LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE","8/355","31/4393",0.258064516129032,3.19345751930941,3.63353567931186,0.00253161438562512,0.0494424301705123,0.0494424301705123,"14991/14998/16149/15018/16178/14969/20304/12522",8
"SCHERER_PBMC_APSV_WETVAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_UP","SCHERER_PBMC_APSV_WETVAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_UP","10/355","45/4393",0.222222222222222,2.74992175273865,3.4981812195607,0.00256625518121019,0.0494424301705123,0.0494424301705123,"109032/21354/16149/16912/19039/246730/246728/17069/20821/23960",10
"SCHERER_PBMC_YF_VAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_UP","SCHERER_PBMC_YF_VAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_UP","10/355","45/4393",0.222222222222222,2.74992175273865,3.4981812195607,0.00256625518121019,0.0494424301705123,0.0494424301705123,"109032/21354/16149/16912/19039/246730/246728/17069/20821/23960",10
"GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN","GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN","12/355","60/4393",0.2,2.47492957746479,3.41047405841958,0.00256822162240357,0.0494424301705123,0.0494424301705123,"15366/17218/26909/23834/14676/11421/20133/27280/68743/16571/14086/71946",12
"GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_UP","GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_UP","12/355","60/4393",0.2,2.47492957746479,3.41047405841958,0.00256822162240357,0.0494424301705123,0.0494424301705123,"13649/209588/21354/16912/14999/14200/16362/404634/16913/14969/434341/20821",12
"GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_DN","GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_DN","15/355","84/4393",0.178571428571429,2.20975855130785,3.31903843455865,0.00257705855182927,0.0494424301705123,0.0494424301705123,"105988/16852/16154/71819/18005/243864/17084/72043/67196/68743/78733/70218/17865/21915/21810",15
"GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN","GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN","14/355","76/4393",0.184210526315789,2.27954040029652,3.33604545647827,0.00263096644847053,0.049780549420447,0.049780549420447,"21356/227659/14190/246730/67776/12524/13007/20304/12526/14367/18854/23960/12044/50706",14
"GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP","GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP","14/355","76/4393",0.184210526315789,2.27954040029652,3.33604545647827,0.00263096644847053,0.049780549420447,0.049780549420447,"16912/14200/223254/14191/12522/18439/17127/18016/12236/208628/14056/18037/11804/242705",14
"GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_DN","GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_DN","14/355","76/4393",0.184210526315789,2.27954040029652,3.33604545647827,0.00263096644847053,0.049780549420447,0.049780549420447,"15366/19362/230073/233406/21356/110052/14676/17215/20133/14191/21877/12774/17127/71946",14
"GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_DN","GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_DN","13/355","68/4393",0.191176470588235,2.36574150787075,3.3650544362306,0.00263399550734053,0.049780549420447,0.049780549420447,"231507/16882/236573/14960/12524/13482/14969/20304/20343/76074/18854/71740/22778",13
