"tissue_site","n","mean_log2_FPKM","sd_log2_FPKM","se_log2_FPKM","median_log2_FPKM"
"Lymph node",115,7.40357028106063,2.37635486549073,0.221596233815537,8.16897471994463
"Lung",6,6.96080797385763,1.53422683926366,0.626345484313167,7.24860477631029
"Bone",73,6.64751992875585,2.51491959365474,0.294349074347377,7.31004548605642
"Prostate",7,5.89102983979328,2.12393335633021,0.802771351732066,6.24615551730569
"Soft tissue",25,5.682299329587,3.28317623639018,0.656635247278037,6.20414163353154
"Liver",39,4.34484144702526,2.5694867388296,0.411447167715438,4.06952773019927
