"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","AMACR",9.09448522553425
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","AMACR",8.65645674379499
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","AMACR",9.11016146494741
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","AMACR",9.1022360510546
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","AMACR",8.77226953415917
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","ERG",8.43560405468018
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","ERG",8.55963317701423
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","ERG",8.57843457278033
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","ERG",7.97219989833374
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","ERG",8.76999837213476
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","ERG",8.59935300957938
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","ERG",8.23230842832228
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","ERG",8.18590568137568
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","ERG",8.35703975517155
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","ERG",8.40589655531237
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","ERG",8.30157220281828
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","ERG",8.5466512761481
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","MKI67",12.5742875161743
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","MKI67",12.5350759692524
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","MKI67",12.5508063455242
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","MKI67",12.7603359385138
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","MKI67",12.5929966682877
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","MKI67",12.3456632996832
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","MKI67",11.6464680589634
