"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","PTEN",11.2153348931229
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","PTEN",11.073573016805
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","PTEN",11.1801166222233
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","PTEN",11.2299741451427
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","RB1",9.13061125369174
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","RB1",8.95318071875299
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","RB1",8.93230563356669
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","RB1",9.14438271841002
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","RB1",9.02790141094598
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","RB1",9.11129339487386
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","RB1",9.65385327788403
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","RB1",9.48610769830335
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","RB1",9.22898333541177
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","RB1",9.20991772163006
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","RB1",9.41246336759989
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","RB1",9.53909321430679
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","TTF1",8.74761949662576
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","TTF1",8.60890360426541
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","TTF1",8.68312119668574
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","TTF1",8.54609768534974
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","TTF1",8.767103179862
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","TTF1",8.71416695524086
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","TTF1",8.66298626380161
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","TTF1",8.82769730364513
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","TTF1",8.65645674379499
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","TTF1",8.69329117658818
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","TTF1",8.69936544427465
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","TTF1",8.54218377398787
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","INSM1",6.51667034908635
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","INSM1",6.33570192747466
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","INSM1",6.01639165771519
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","INSM1",6.36703704040191
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","INSM1",6.2507429691499
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","INSM1",6.24049398404641
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","INSM1",6.01639165771519
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","INSM1",6.20153119697975
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","INSM1",6.20099597637832
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","INSM1",6.20567963700653
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","INSM1",6.27925915622721
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","INSM1",6.20614314251999
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","ACP3",10.2492323280638
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","ACP3",10.4067308264403
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","ACP3",10.4717207922314
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","ACP3",10.7004668493889
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","ACP3",9.70684915331762
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","ACP3",10.4556875629136
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","ACP3",9.01244770270313
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","ACP3",9.82885487345171
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","ACP3",9.14658781062145
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","ACP3",9.25593355065841
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","ACP3",9.2696844020834
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","ACP3",9.53470402964394
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","CHGA",7.29389780879168
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","CHGA",7.5805659292177
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","CHGA",7.97693695616944
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","CHGA",6.93100396146315
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","CHGA",7.69188974573356
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","CHGA",7.30927836865385
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","CHGA",7.48391332824223
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","CHGA",7.33177993033057
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","CHGA",7.67588369050225
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","CHGA",8.4871349566466
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","CHGA",7.33753285989274
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","CHGA",7.29019534857291
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","CHGB",6.18389389685616
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","CHGB",6.20099607765535
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","CHGB",6.01639165771519
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","CHGB",6.19203769948702
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","CHGB",6.2507429691499
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","CHGB",6.01639165771519
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","CHGB",6.01639165771519
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","CHGB",6.01639165771519
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","CHGB",6.27728409928404
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","CHGB",6.01639165771519
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","CHGB",6.33811575450001
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","CHGB",6.20614314251999
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","TFRC",12.5724262745595
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","TFRC",11.5865376794045
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","TFRC",11.3413932362341
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","TFRC",12.2744097616409
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","TFRC",11.7245485677714
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","TFRC",11.5999477171361
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","TFRC",11.4415586025925
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","TFRC",12.1291457713054
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","TFRC",11.451386333639
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","TFRC",11.2949208621648
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","TFRC",11.4406821850479
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","TFRC",11.5024576104642
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","NCAM1",10.9494988568759
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","NCAM1",11.2191978839608
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","NCAM1",11.4004714989393
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","NCAM1",11.1660459495401
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","NCAM1",10.4749351742903
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","NCAM1",11.5775796996359
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","NCAM1",10.630109479561
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","NCAM1",10.157390032624
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","NCAM1",10.3455274804393
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","NCAM1",10.3469883455889
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","NCAM1",10.0596909186128
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","NCAM1",10.4745773280265
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","SCG2",6.01639165771519
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","SCG2",6.01639165771519
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","SCG2",6.18671823014897
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","SCG2",6.01639165771519
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","SCG2",6.38632682543336
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","SCG2",6.01639165771519
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","SCG2",6.01639165771519
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","SCG2",6.01639165771519
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","SCG2",6.27728409928404
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","SCG2",6.01639165771519
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","SCG2",6.38763179753248
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","SCG2",6.01639165771519
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","SYP",6.59311462738773
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","SYP",6.7011438790497
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","SYP",6.52502978538968
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","SYP",6.86511761058146
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","SYP",6.65370045195324
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","SYP",6.68341775499616
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","SYP",6.81225068326524
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","SYP",6.74954357616244
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","SYP",6.50283449503546
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","SYP",6.81000465122899
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","SYP",6.75289824882788
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","SYP",6.58241914197242
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","FOLH1",6.01639165771519
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","FOLH1",6.33570192747466
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","FOLH1",6.25713032448453
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","FOLH1",6.01639165771519
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","FOLH1",6.18219404959089
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","FOLH1",6.33300319566165
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","FOLH1",6.2062280562217
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","FOLH1",6.27803947085866
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","FOLH1",6.01639165771519
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","FOLH1",6.28389397460609
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","FOLH1",6.27925915622721
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","FOLH1",6.20614314251999
