"gene","group","wtko","condition","n","mean_expr","median_expr","sd_expr"
"SCG2","KO_MTK","KO","MTK",3,6.13970338028792,6.01639165771519,0.21358216866479
"SYP","WT_control","WT","control",3,6.70836327650989,6.81000465122899,0.177996688665131
"SYP","WT_MTK","WT","MTK",3,6.69495365565425,6.74954357616244,0.097472180822923
"SYP","KO_control","KO","control",3,6.63653047314518,6.68341775499616,0.0969683267667992
"SYP","KO_MTK","KO","MTK",3,6.70397756330747,6.65370045195324,0.142801423876538
"TFRC","WT_control","WT","control",3,11.3959552661321,11.4415586025925,0.0876362320227884
"TFRC","WT_MTK","WT","MTK",3,11.6907618556059,11.5024576104642,0.380906017220014
"TFRC","KO_control","KO","control",3,11.5092928775916,11.5865376794045,0.145559865532949
"TFRC","KO_MTK","KO","MTK",3,12.1904615346573,12.2744097616409,0.430127457885855
"TMPRSS2","WT_control","WT","control",3,6.27605664119819,6.34472617000763,0.233045780416735
"TMPRSS2","WT_MTK","WT","MTK",3,6.01639165771519,6.01639165771519,0
"TMPRSS2","KO_control","KO","control",3,6.01639165771519,6.01639165771519,0
"TMPRSS2","KO_MTK","KO","MTK",3,6.01639165771519,6.01639165771519,0
"TTF1","WT_control","WT","control",3,8.67091139472826,8.66298626380161,0.0196545067338875
"TTF1","WT_MTK","WT","MTK",3,8.68974884063588,8.69936544427465,0.142999486724591
"TTF1","KO_control","KO","control",3,8.66873058539734,8.68312119668574,0.0540870643923814
"TTF1","KO_MTK","KO","MTK",3,8.6869401206125,8.74761949662576,0.12236154279908
"VIM","WT_control","WT","control",3,17.3651767309628,17.3825219245594,0.0636806892167463
"VIM","WT_MTK","WT","MTK",3,17.1394403053927,17.1010850799166,0.199873578714964
"VIM","KO_control","KO","control",3,16.9275545000717,16.9271920069128,0.212976229880169
"VIM","KO_MTK","KO","MTK",3,16.9327896077883,16.8477565055621,0.149507729450239
