"Comparison","Numerator","Denominator","Total_DE_Genes","Upregulated","Downregulated","padj_Cutoff","log2FC_Cutoff"
"WT_MTK_vs_WT_control","WT_MTK","WT_control",31,14,17,0.05,0.58
"KO_MTK_vs_KO_control","KO_MTK","KO_control",17,14,3,0.05,0.58
"KO_MTK_vs_WT_MTK","KO_MTK","WT_MTK",2820,1401,1419,0.05,0.58
"KO_control_vs_WT_control","KO_control","WT_control",3386,1671,1715,0.05,0.58
