"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000112414.15",0.118100654693341,0.00814224674618249,0.0247798623000707,"TRIM38"
"ENSG00000200113.1",0.118098251516432,0.00814355207572429,0.0247825112597119,"Y_RNA"
"ENSG00000221363.1",0.118076221424205,0.00815552682887752,0.0248145767736034,"AL078604.1"
"ENSG00000243911.3",0.118072232018496,0.00815769700360834,0.0248189296258533,"RN7SL231P"
"ENSG00000130822.16",0.118058105627574,0.00816538568436953,0.0248397736840083,"SESN2"
"ENSG00000255776.1",0.118058042481922,0.00816542006765694,0.0248397736840083,"AC022973.3"
"ENSG00000283456.1",0.118056227809027,0.00816640822605282,0.0248414535089,"AC021424.4"
"ENSG00000167656.5",0.118053916679377,0.00816766687851957,0.0248439559283042,"ZNF610"
"ENSG00000237760.1",0.118049429036925,0.0081701113648616,0.0248500648917038,"AC005345.1"
"ENSG00000222429.1",0.118047696067925,0.00817105551385097,0.024851610047224,"SOD1P1"
"ENSG00000138100.14",0.118044215910026,0.00817295185313217,0.0248560508936445,"ADCY3"
"ENSG00000285079.1",0.118031342829249,0.00817996981280756,0.0248760666010347,"AC139769.3"
"ENSG00000207401.1",0.118027297339521,0.00818217638443573,0.024881449064016,"Y_RNA"
"ENSG00000286847.1",0.118021930116542,0.00818510470189127,0.0248890256160129,"AC020907.5"
"ENSG00000286719.1",0.118017938733873,0.00818728297721248,0.0248943207750557,"AC093028.1"
"ENSG00000230226.1",0.118013516574382,0.00818969695061482,0.0249003319963173,"HMGN2P36"
"ENSG00000280231.1",0.118006333482559,0.00819361941846947,0.0249088336917736,"AL352984.2"
"ENSG00000286230.1",0.118005416674408,0.00819412018010871,0.0249088336917736,"AC106730.2"
"ENSG00000263815.2",0.118005194160006,0.0081942417218423,0.0249088336917736,"AC093802.2"
"ENSG00000252490.1",0.117999214627807,0.00819750846215509,0.0249174346357655,"MGC32805"
"ENSG00000240299.3",0.117996289673605,0.00819910684743077,0.0249209637421162,"AC090192.1"
"ENSG00000226317.3",0.117981647366877,0.00820711253750198,0.0249418736123083,"AC012462.1"
"ENSG00000184378.3",0.117978556416264,0.00820880340787792,0.0249451136997649,"RPL11P4"
"ENSG00000252263.1",0.117973677341541,0.0082114730843249,0.0249518956814162,"AC016550.3"
"ENSG00000255669.2",0.117972539607769,0.00821209572787909,0.0249524570292902,"TAGLN2P1"
"ENSG00000185899.1",0.117960528870665,0.00821867137167018,0.0249711055470373,"RPL14P6"
"ENSG00000286327.1",0.117954913912431,0.00822174706263153,0.0249791186017492,"AP001148.1"
"ENSG00000286508.1",0.117953905642743,0.00822229946862161,0.0249794650256733,"AC073263.3"
"ENSG00000219384.1",0.1179441446671,0.0082276489776526,0.0249939372436118,"UBE2QL1"
"ENSG00000255850.2",0.117943612993986,0.00822794045060055,0.0249939372436118,"CYP4F44P"
"ENSG00000259683.1",0.117941051891196,0.00822934462317582,0.0249949825151764,"AC022367.1"
"ENSG00000286100.1",0.117940585205482,0.00822960051538625,0.0249949825151764,"AC018558.4"
"ENSG00000199591.1",0.117936959181529,0.00823158897171515,0.0249996893293519,"RNA5SP347"
"ENSG00000223677.1",0.117933139343031,0.00823368417659998,0.0250047198244867,"OR52B4"
"ENSG00000159685.11",0.117931704902961,0.00823447109866342,0.0250057768958079,"CES5A"
"ENSG00000207082.1",0.117929132381085,0.00823588253114641,0.0250087302162139,"METTL6"
"ENSG00000201315.1",0.11792334007321,0.00823906131231759,0.0250170495916641,"SNORD115-28"
"ENSG00000238912.1",0.117921537156621,0.00824005096464955,0.0250187213735118,"OR2R1P"
"ENSG00000184985.16",0.117920448615321,0.00824064853528084,0.0250192025889193,"CDCA2"
"ENSG00000257345.2",0.117918150769288,0.00824191009833935,0.0250216995744832,"PTP4A2P2"
