"t_stage","n","median","mean"
"T1",2,4.6184774318294,4.6184774318294
"T2",212,4.49293051975037,4.51515381580405
"T3",295,4.66939465059383,4.71470421222091
"T4",11,4.51686664176762,4.69798285963288
