"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000234770.1",0.163113045326746,0.247930827792625,0.506757473988983,"GULOP"
"ENSG00000278916.1",0.163084005475546,0.248016182649713,0.50684012094309,"CEP83-DT"
"ENSG00000175773.13",0.163050226969893,0.248115490591997,0.507023248693329,"ZBTB44-DT"
"ENSG00000248827.1",0.162995143486749,0.248277492483097,0.507255179324373,"AC024587.1"
"ENSG00000271147.8",0.162960981880725,0.248377998654965,0.507394890970602,"ARMCX5-GPRASP2"
"ENSG00000188314.3",0.162936041539945,0.248451392554498,0.507456659407352,"OR7D1P"
"ENSG00000277723.1",0.162936041539945,0.248451392554498,0.507456659407352,"MIR6827"
"ENSG00000244088.1",0.162933323759806,0.24845939126824,0.507456659407352,"RPL23AP44"
"ENSG00000207451.1",0.16293194434719,0.248463451091951,0.507456659407352,"RNU6-291P"
"ENSG00000250409.1",0.162881695475367,0.248611371930331,0.507708323625376,"AC010608.1"
"ENSG00000276520.1",0.162880191176631,0.248615801151824,0.507708323625376,"CR589904.1"
"ENSG00000261313.2",0.162812503041776,0.248815155867639,0.508023809728915,"AC105430.1"
"ENSG00000172297.7",0.16280745711598,0.248830021439777,0.508023809728915,"GOLGA2P3Y"
"ENSG00000234004.4",0.162804807147872,0.248837828631269,0.508023809728915,"AC092017.1"
"ENSG00000100519.12",0.162801349823791,0.248848014660573,0.508023809728915,"PSMC6"
"ENSG00000131435.13",0.162797521143931,0.248859295114709,0.508027004070158,"PDLIM4"
"ENSG00000236972.2",0.162779946620856,0.248911079447446,0.508073210494106,"FABP5P1"
"ENSG00000234031.1",0.162772059709418,0.248934321055687,0.508100816366649,"RPS3AP44"
"ENSG00000256879.1",0.162756293865988,0.24898078516775,0.508174066251703,"AC129102.1"
"ENSG00000242370.1",0.162738560716906,0.249033054225666,0.508222986980168,"KCNAB1-AS1"
"ENSG00000241169.1",0.162689030984247,0.249179084191348,0.508461468615859,"FO393419.2"
"ENSG00000279413.1",0.162684633366884,0.249192052620568,0.50846808863954,"AC112497.2"
"ENSG00000243687.1",0.162641744477732,0.249318554533495,0.508638891334245,"RPL35AP10"
"ENSG00000154237.13",0.162637243631551,0.249331832421149,0.508638891334245,"LRRK1"
"ENSG00000112964.14",0.162636466521939,0.249334125010602,0.508638891334245,"GHR"
"ENSG00000283417.1",0.162624526317442,0.249369352193747,0.508658881094341,"AC024614.4"
"ENSG00000005801.18",0.162619311701762,0.249384737931548,0.508662761807721,"ZNF195"
"ENSG00000234513.1",0.162589557934744,0.249472538809328,0.508821998744041,"AC073072.1"
"ENSG00000214484.3",0.162568069050064,0.249535963736036,0.508891809976349,"RPSAP28"
"ENSG00000235627.1",0.162546513654214,0.249599595947694,0.508962027551729,"SNRPFP4"
"ENSG00000274752.1",0.162540327859926,0.249617858638456,0.508976955302657,"TRBV12-3"
"ENSG00000241106.8",0.162534143359976,0.249636118412896,0.508976955302657,"HLA-DOB"
"ENSG00000233129.1",0.162496844807273,0.249746261807825,0.509161817048868,"AL117351.1"
"ENSG00000229769.2",0.162492515178725,0.249759049422427,0.50916803521577,"TRBV10-2"
"ENSG00000264879.2",0.162479389275929,0.24979781965886,0.509207367827459,"RN7SL690P"
"ENSG00000284797.1",0.162456557556469,0.249865267869244,0.509305149168319,"AC008397.1"
"ENSG00000234608.8",0.162435618313682,0.249927136272913,0.509391542723614,"MAPKAPK5-AS1"
"ENSG00000198087.7",0.162416621694463,0.249983273854932,0.509466243387791,"CD2AP"
"ENSG00000238173.1",0.162408356581861,0.250007701047816,0.509496168060225,"RPL39P6"
"ENSG00000166845.15",0.162397317674953,0.25004032859458,0.509522943954872,"C18orf54"
"ENSG00000141552.18",0.162390771453626,0.250059678533884,0.509536041056136,"ANAPC11"
"ENSG00000261209.1",0.16237669497852,0.2501012905435,0.509573943545685,"SULT1C2P2"
"ENSG00000238825.1",0.162339136554123,0.250212341394797,0.509754270988567,"RNVU1-2"
"ENSG00000266909.1",0.162310306549491,0.250297607144581,0.509848522788585,"SLC25A6P4"
"ENSG00000263744.1",0.162303996107285,0.250316273122899,0.509866682455816,"MIR3664"
"ENSG00000232792.2",0.162277938655533,0.250393359767533,0.509983967159448,"FTH1P25"
"ENSG00000205221.12",0.162242576199143,0.250497999427821,0.510139076004811,"VIT"
"ENSG00000282881.2",0.162242305799666,0.250498799670359,0.510139076004811,"TMEM275"
"ENSG00000248758.1",0.162234422425616,0.250522131139182,0.510146885082043,"AC008883.1"
"ENSG00000204022.9",0.162202617801697,0.250616274377912,0.510298846220663,"LIPJ"
"ENSG00000198252.12",0.162184094450367,0.250671115435593,0.510390637241996,"STYX"
"ENSG00000287614.1",0.162177774208885,0.250689829282075,0.510408865482844,"AL158198.2"
"ENSG00000225769.1",0.162132961315378,0.250822544627461,0.510599624890288,"CROCCP1"
"ENSG00000214853.5",0.162132948861491,0.2508225815168,0.510599624890288,"PPIAP79"
"ENSG00000245275.8",0.16212455361076,0.250847449709253,0.510630369363768,"SAP30L-AS1"
"ENSG00000226203.2",0.162059653188525,0.251039752355675,0.51090248748398,"LINC01733"
"ENSG00000228364.1",0.162049018489134,0.251071272921127,0.51094674981602,"SAR1AP1"
"ENSG00000271070.1",0.162031791219403,0.25112233912373,0.511030783827233,"GMCL1P2"
"ENSG00000254008.1",0.162011917970597,0.251181257439971,0.511094669385529,"LINC00051"
"ENSG00000270557.1",0.162011311371314,0.251183055974858,0.511094669385529,"AC013731.1"
"ENSG00000143303.12",0.162001555633772,0.25121198241912,0.511125872805981,"RRNAD1"
"ENSG00000267457.1",0.161996249545556,0.251227716288063,0.511125872805981,"AC004223.2"
"ENSG00000225269.3",0.161979277661385,0.251278046614919,0.511208379871119,"LINC00705"
"ENSG00000204117.2",0.16197526467289,0.251289948177673,0.511212702807546,"AL162293.1"
"ENSG00000243680.1",0.161931292060856,0.251420385396753,0.511407283967497,"RPL37P23"
"ENSG00000287597.1",0.161929831928134,0.251424717415756,0.511407283967497,"AC108105.1"
"ENSG00000208017.3",0.161919652706675,0.251454919210793,0.511433571110628,"MIR140"
"ENSG00000143434.16",0.161890821931015,0.251540473566993,0.511563137269827,"SEMA6C"
"ENSG00000165280.17",0.16187571899298,0.251585298884233,0.511634400021689,"VCP"
"ENSG00000216031.1",0.161869478871291,0.251603821058701,0.511652168138234,"MIR298"
"ENSG00000251059.6",0.161840068517067,0.25169113044426,0.511770007769479,"PRKG2-AS1"
"ENSG00000241057.2",0.161827416978165,0.251728694882196,0.511806583976016,"AC004951.3"
"ENSG00000286797.1",0.161819884335417,0.251751062301108,0.511832158974401,"AC009315.1"
"ENSG00000234118.1",0.16180007276842,0.251809897156202,0.511894067092461,"RPL13AP6"
"ENSG00000126860.12",0.161799741264355,0.251810881710346,0.511894067092461,"EVI2A"
"ENSG00000182333.15",0.161785630449574,0.251852792693349,0.511959362327198,"LIPF"
"ENSG00000270610.1",0.161754582298129,0.251945026408106,0.512082689510169,"AL160191.2"
"ENSG00000260123.2",0.161750889780619,0.251955997166832,0.512082689510169,"AC013565.1"
"ENSG00000267421.6",0.161749879427177,0.251958999062316,0.512082689510169,"AC005498.2"
"ENSG00000171004.18",0.161712427342364,0.252070291287024,0.512216509452781,"HS6ST2"
"ENSG00000233176.3",0.161696623133952,0.25211726487704,0.512216509452781,"OR7E157P"
"ENSG00000233594.2",0.161688950754514,0.252140071012905,0.512224724083834,"BTF3P5"
"ENSG00000177350.6",0.161681299034317,0.252162817128087,0.512251031266922,"RPL13AP3"
"ENSG00000173124.14",0.161671310411784,0.252192512193112,0.512251227964881,"ACSM6"
"ENSG00000225831.1",0.161668085463285,0.252202100111456,0.512251227964881,"RPS18P1"
"ENSG00000251008.1",0.16163855062255,0.252289919995339,0.512330095407056,"ORAOV1P1"
"ENSG00000244706.4",0.161615221108066,0.252359303363814,0.512393094905989,"AC026353.1"
"ENSG00000252969.1",0.161614939741995,0.252360140242,0.512393094905989,"SNORA70"
"ENSG00000234432.4",0.161578188542108,0.252469466905878,0.512561997896583,"AC092171.3"
"ENSG00000049283.18",0.161577090251904,0.252472734567966,0.512561997896583,"EPN3"
"ENSG00000261029.1",0.161553989131553,0.252541472255533,0.512681641603042,"AC138304.1"
"ENSG00000213854.3",0.161538804543547,0.252586661084325,0.512731765698605,"CNN2P6"
"ENSG00000196240.4",0.161528806358326,0.252616418333928,0.512731765698605,"OR2T2"
"ENSG00000284716.1",0.161522629679839,0.252634802950121,0.512731765698605,"AL034417.3"
"ENSG00000073737.17",0.161517196667791,0.252650974822646,0.512744685523048,"DHRS9"
"ENSG00000231619.1",0.161512227681131,0.252665766092245,0.512753128382139,"ANAPC15P1"
"ENSG00000011376.12",0.161493157165018,0.252722539063157,0.512799484274136,"LARS2"
"ENSG00000207173.1",0.161488360995311,0.252736818627795,0.512799484274136,"Y_RNA"
"ENSG00000286134.2",0.161454055583599,0.252838971512701,0.512954795069273,"AC114930.1"
"ENSG00000166024.14",0.161452771871927,0.252842794624403,0.512954795069273,"R3HCC1L"
"ENSG00000213598.4",0.161430621209779,0.252908769214528,0.513048700450912,"AL049873.1"
"ENSG00000250641.1",0.161426985118452,0.252919600233625,0.513048700450912,"LY6G6F-LY6G6D"
"ENSG00000231910.1",0.16142299667552,0.252931481181572,0.513048700450912,"GAMTP2"
"ENSG00000197134.13",0.161417467391153,0.252947952678852,0.513048700450912,"ZNF257"
