"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000226389.3",0.0418739827380659,0.349615326305859,0.51142426879423,"MAPK6P6"
"ENSG00000284671.1",0.0418728346310674,0.349628550224937,0.51142426879423,"AC009093.9"
"ENSG00000277950.1",0.0418715640110636,0.349643185620211,0.51142426879423,"Metazoa_SRP"
"ENSG00000113658.18",0.041870746019912,0.349652607701108,0.51142426879423,"SMAD5"
"ENSG00000109065.12",0.041868529418562,0.349678140566338,0.511448486257265,"NAT9"
"ENSG00000204790.9",0.0418672466289315,0.349692917463133,0.511456970917293,"AL163540.1"
"ENSG00000189108.13",0.0418559069929798,0.349823559830447,0.511582390480923,"IL1RAPL2"
"ENSG00000241248.3",0.0418548784195611,0.349835411408937,0.511586592518739,"RN7SL727P"
"ENSG00000222715.1",0.0418341010260826,0.350074870111222,0.511871084778228,"MIR1911"
"ENSG00000243918.1",0.0418300653867629,0.350121392728527,0.511925972622314,"EIF4BP8"
"ENSG00000236999.1",0.0418197557083205,0.350240259861026,0.512067872960542,"ATP2B2-IT1"
"ENSG00000141446.11",0.0418193097214327,0.350245402516,0.512067872960542,"ESCO1"
"ENSG00000286188.1",0.0418140921602354,0.350305569529376,0.512129558121752,"AC023787.1"
"ENSG00000256752.1",0.0418115377720727,0.350335028185422,0.512146345144274,"HPRT1P3"
"ENSG00000229722.1",0.041793878006629,0.35053873348748,0.512382902501452,"AL078590.1"
"ENSG00000249467.1",0.0417936116302098,0.350541806711256,0.512382902501452,"H2AL1QP"
"ENSG00000188306.6",0.0417867644382626,0.350620809614412,0.512433044677723,"LRRIQ4"
"ENSG00000283435.1",0.0417859619637244,0.350630069302745,0.512433044677723,"MIR1321"
"ENSG00000200235.1",0.0417664491635283,0.35085527349414,0.512670128704728,"AC116353.1"
"ENSG00000229018.5",0.0417651920175788,0.350869785798144,0.512678187157065,"PMS2P7"
"ENSG00000176343.5",0.041763868919168,0.350885059857195,0.512687358216391,"RPL37AP8"
"ENSG00000115457.10",0.0417581136512325,0.350951504477382,0.512767031421995,"IGFBP2"
"ENSG00000189369.9",0.0417575868925104,0.350957586308731,0.512767031421995,"GSPT2"
"ENSG00000286130.1",0.0417380808337882,0.351182845536503,0.513017220979221,"AC006040.1"
"ENSG00000135541.21",0.0417297656714676,0.351278898184569,0.513093568797779,"AHI1"
"ENSG00000100982.12",0.0417296588543675,0.351280132190909,0.513093568797779,"PCIF1"
"ENSG00000276866.1",0.0417225748036096,0.351361976919296,0.513160497419926,"MIR7151"
"ENSG00000204179.10",0.0417156834400853,0.351441607016437,0.513237331729038,"PTPN20"
"ENSG00000226477.1",0.0417068740798243,0.351543416272586,0.513346541673156,"AC245028.1"
"ENSG00000071242.12",0.0416973846217846,0.351653106215669,0.513414616308164,"RPS6KA2"
"ENSG00000248209.1",0.0416923784774537,0.351710981630187,0.513459646031864,"AC097462.1"
"ENSG00000267626.1",0.0416873303170755,0.351769348877302,0.513531698820904,"AC002115.1"
"ENSG00000225871.2",0.0416839533222719,0.351808397383979,0.513575546110637,"AC245100.2"
"ENSG00000180071.20",0.0416743032884698,0.351919996710961,0.513698978701386,"ANKRD18A"
"ENSG00000158792.16",0.0416719390664308,0.351947341535057,0.513712574107513,"SPATA2L"
"ENSG00000257530.1",0.0416706242208898,0.351962549748016,0.513721612930446,"AC048344.1"
"ENSG00000235218.2",0.0416391930642603,0.3523262229524,0.514173402741726,"DNAJC17P1"
"ENSG00000181894.15",0.0416253377441196,0.352486610774247,0.514295343268684,"ZNF329"
"ENSG00000284373.1",0.0416249576227619,0.352491011670824,0.514295343268684,"TAF11L2"
"ENSG00000284505.1",0.0416142064476512,0.352615498932627,0.514450628448382,"LYNX1-SLURP2"
"ENSG00000207706.1",0.0416118503774913,0.352642783443264,0.514477262549111,"MIR518F"
"ENSG00000199331.1",0.0416081102104518,0.35268609924659,0.514505583891206,"Y_RNA"
"ENSG00000213881.3",0.0416066340755651,0.352703195654973,0.514512705553263,"NPM1P6"
"ENSG00000104687.14",0.0416040458383165,0.352733173554774,0.514537942518706,"GSR"
"ENSG00000225869.4",0.0416028015605891,0.35274758580142,0.514537942518706,"AC008696.1"
"ENSG00000279886.1",0.0415938755494241,0.352850985083765,0.514649243122277,"AC087645.3"
"ENSG00000204611.7",0.0415864272343039,0.352937281303562,0.514736893900081,"ZNF616"
"ENSG00000188493.15",0.0415863496576453,0.352938180177184,0.514736893900081,"C19orf54"
"ENSG00000226324.1",0.0415820253807838,0.352988287459457,0.514783620181392,"AL358453.1"
"ENSG00000135940.7",0.0415765269502397,0.353052006650905,0.514863368335557,"COX5B"
"ENSG00000287182.1",0.0415449158401136,0.353418476317431,0.515285592112515,"AC131953.2"
"ENSG00000271602.1",0.0415427401646892,0.353443707881263,0.515302712657223,"KRT8P49"
"ENSG00000198793.13",0.04153608944184,0.353520844136648,0.51540198597253,"MTOR"
"ENSG00000285679.2",0.0415238759692531,0.353662525774553,0.51556584583998,"AC079142.1"
"ENSG00000201218.1",0.0415216092578567,0.353688824556967,0.515567738861104,"Y_RNA"
"ENSG00000167283.8",0.0415171104817173,0.353741023795253,0.515591069649493,"ATP5MG"
"ENSG00000231884.1",0.0414898538185437,0.35405738628083,0.515907017713028,"NDUFB1P1"
"ENSG00000108669.16",0.0414833884628817,0.354132454478483,0.51600320637852,"CYTH1"
"ENSG00000110200.8",0.041479932696688,0.354172582931166,0.516045504393056,"ANAPC15"
"ENSG00000188211.9",0.0414778432048509,0.354196847557518,0.516045504393056,"NCR3LG1"
"ENSG00000070018.9",0.0414638836334822,0.354358982630981,0.516214474991587,"LRP6"
"ENSG00000135973.3",0.0414568507513751,0.35444068456387,0.516320294691018,"GPR45"
"ENSG00000199223.1",0.0414340030473548,0.354706191250919,0.516598468354305,"Y_RNA"
"ENSG00000258982.1",0.0414333967082193,0.35471323905095,0.516598468354305,"AL133523.1"
"ENSG00000250715.1",0.0414217960275548,0.354848096866238,0.516768456757102,"H3P22"
"ENSG00000268582.1",0.0413995943996008,0.355106280569266,0.517061650201221,"AC243960.4"
"ENSG00000146039.11",0.0413982414821474,0.355122017525575,0.517061650201221,"SLC17A4"
"ENSG00000199667.1",0.0413960258362295,0.355147790572681,0.51708142259238,"Y_RNA"
"ENSG00000113048.17",0.0413899664305185,0.35521828137832,0.517135740705622,"MRPS27"
