"found_genes"
"ROS1"
"MMP9"
"FLT1"
"TSC2"
"AKT2"
"MET"
"CCND1"
"VEGFA"
"AKT3"
"STK11"
"PIK3CA"
"KDR"
"CCNA1"
"KRAS"
"EGF"
"TP53"
"ERBB2"
"AKT1"
"PIP5K1A"
"RIT1"
"PIK3R1"
"EGFR"
"BRAF"
"TSC1"
"RET"
"MAP2K1"
"ALK"
"PTEN"
"HRAS"
"NF1"
"NRAS"
