"logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","SYMBOL"
0.23371812019021,9.95704187043511,10.7923359059594,6.74572024352006e-20,1.78161217351608e-15,34.4912468397395,"3718","JAK3"
0.244468966002099,9.97964923251908,10.2357521425965,1.6970585527502e-18,2.24105067183428e-14,31.3772171516549,"4261","CIITA"
0.454080740631467,6.98875045223664,10.1094628219481,3.52036029430553e-18,2.35354832522476e-14,30.6724171372944,"6503","SLA"
0.398181503122611,6.25863048719847,10.0935129820249,3.85992028331181e-18,2.35354832522476e-14,30.5834659926452,"915","CD3D"
0.533380065248019,7.83647333403053,10.0686479334585,4.45562137977502e-18,2.35354832522476e-14,30.4448249571774,"1236","CCR7"
0.32504848879697,6.9204299088855,9.97175061122569,7.791627574148e-18,3.42974459768038e-14,29.9049118041873,"57705","WDFY4"
0.338622200115618,7.19920843557252,9.89761633532971,1.19434304984883e-17,4.50625632707963e-14,29.4922488216116,"3603","IL16"
0.258864607875058,9.22440706403817,9.7498543872711,2.7944789781922e-17,8.5394941807263e-14,28.6709259933519,"3687","ITGAX"
0.439304754170396,6.41857026354198,9.74280641343607,2.90997870684702e-17,8.5394941807263e-14,28.6317925026044,"911","CD1C"
0.425167832014685,5.7991310410229,9.59348860666372,6.85599400370005e-17,1.81073657631722e-13,27.803693626294,"4064","CD180"
0.332131469055477,7.23857133922901,9.23144755677479,5.42476418554687e-16,1.3024858809498e-12,25.8047379925275,"6404","SELPLG"
0.398942862184382,7.23939361460305,9.13468032454482,9.40520377666569e-16,2.07000697454598e-12,25.2729045105722,"56833","SLAMF8"
0.304043687017016,5.91666589547328,9.00910448346336,1.91742783175679e-15,3.80916426751958e-12,24.5844833853239,"10666","CD226"
0.325931431237762,6.5014086240229,8.99997504996733,2.01917003314051e-15,3.80916426751958e-12,24.5345152721668,"9840","TESPA1"
0.48106763377972,7.05904071943511,8.96701567524707,2.43329393472506e-15,4.28438174066825e-12,24.3542125843027,"1233","CCR4"
0.384315338262237,6.08520242625954,8.94459395672918,2.76232178391243e-15,4.51053904678904e-12,24.2316406555107,"941","CD80"
0.381658620899534,6.16464602337405,8.9357901808336,2.9033040701001e-15,4.51053904678904e-12,24.1835324515407,"100130231","LINC00861"
0.299395008861772,6.33086568359542,8.89050922822833,3.74978214752301e-15,5.50197201656835e-12,23.936267039891,"5588","PRKCQ"
0.33197834539394,7.44168525861832,8.81810664422224,5.64155863019428e-15,7.45255677054226e-12,23.5415121617907,"921","CD5"
0.27180466893683,7.02666175103817,8.81804481629041,5.64352487262297e-15,7.45255677054226e-12,23.5411753918766,"3684","ITGAM"
0.297845946347086,7.73057780285496,8.79742645762525,6.33875911822383e-15,7.9720460510195e-12,23.4289013748553,"113","ADCY7"
0.394911752069231,6.55343036222901,8.73987802709136,8.76345934032603e-15,1.05205329380614e-11,23.1158718461385,"913","CD1E"
0.347003922475291,7.28483593832061,8.68812824854652,1.17213578992398e-14,1.34596862381227e-11,22.8348228182572,"939","CD27"
0.317601847307692,7.6521371561374,8.67553135936803,1.25803831874343e-14,1.38441875151387e-11,22.7664743973407,"1378","CR1"
0.324711201199767,7.18323512014504,8.65901049052023,1.38025975690338e-14,1.458161617583e-11,22.6768738810005,"64098","PARVG"
0.359284034054778,6.97569011851908,8.65014863608937,1.450614830646e-14,1.47354570354583e-11,22.6288300521199,"2213","FCGR2B"
0.391458513799066,7.23293843062595,8.6061018202929,1.85688370187321e-14,1.81637612778419e-11,22.3902247711962,"285513","GPRIN3"
0.281046703173893,7.81542446445038,8.5924456926368,2.0044807954599e-14,1.89072651031755e-11,22.3163136963678,"83706","FERMT3"
0.377348578059673,6.97839599383969,8.56604276739661,2.32372754890071e-14,2.11627476875919e-11,22.1735020259953,"3559","IL2RA"
0.373438877015385,7.77008091471756,8.55166893840622,2.51828489410549e-14,2.21701407794067e-11,22.0958046601935,"654346","LGALS9C"
0.352811235491607,7.4134698100687,8.53882984554193,2.70572005113065e-14,2.30518620227135e-11,22.026433175968,"7940","LST1"
