"","PCA0038","PCA0084","PCA0150","PCA0058","PCA0080","PCA0035","PCA0081","PCA0082","PCA0036","PCA0037","PCA0083","PCA0040","PCA0086","PCA0087","PCA0089","PCA0090","PCA0092","PCA0093","PCA0094","PCA0095","PCA0096","PCA0097","PCA0099","PCA0100","PCA0101","PCA0103","PCA0104","PCA0105","PCA0107","PCA0108","PCA0109","PCA0110","PCA0111","PCA0112","PCA0113","PCA0114","PCA0115","PCA0117","PCA0118","PCA0119","PCA0120","PCA0122","PCA0123","PCA0124","PCA0125","PCA0126","PCA0127","PCA0128","PCA0129","PCA0130","PCA0132","PCA0133","PCA0134","PCA0135","PCA0136","PCA0141","PCA0144","PCA0145","PCA0146","PCA0147","PCA0149","PCA0151","PCA0155","PCA0156","PCA0157","PCA0158","PCA0159","PCA0160","PCA0050","PCA0161","PCA0162","PCA0163","PCA0164","PCA0165","PCA0167","PCA0168","PCA0169","PCA0170","PCA0171","PCA0172","PCA0173","PCA0174","PCA0175","PCA0052","PCA0054","PCA0176","PCA0056","PCA0057","PCA0062","PCA0063","PCA0064","PCA0178","PCA0065","PCA0066","PCA0179","PCA0180","PCA0181","PCA0005","PCA0068","PCA0073","PCA0074","PCA0075","PCA0077","PCA0001","PCA0007","PCA0008","PCA0009","PCA0010","PCA0011","PCA0012","PCA0013","PCA0002","PCA0014","PCA0015","PCA0017","PCA0018","PCA0020","PCA0021","PCA0022","PCA0024","PCA0025","PCA0003","PCA0026","PCA0027","PCA0028","PCA0029","PCA0030","PCA0031","PCA0032","PCA0033","PCA0034"
"T_cells",-0.528819207755813,-0.547190632066277,-0.029608909670557,-0.555740622751818,-0.346585649452677,0.729379686434901,-0.625577520260547,-0.21796639776858,-0.328660651978597,-0.383583859832115,0.163389323790079,-0.174182584939492,0.676650513108063,-0.622887355937811,0.058270940265844,-0.493021831015133,-0.743391653412103,-0.845410113605591,0.114102855411649,-0.476951749392353,-0.724039990911157,-0.240789551956665,-0.402521329483065,-0.0511626145572975,0.299758790435148,0.345019681828722,0.737808430791056,0.680034840566538,0.602177333657948,-0.195333425348983,0.067068090585473,0.296636177883045,0.536066648651748,-0.74573960463531,0.672951129037963,0.175669778453376,-0.530440482571461,0.875047712569069,-0.812323036625538,-0.534257080921116,-0.663245458939823,0.32437190179561,-0.764255832899229,-0.773482528051601,0.851886546835753,0.39304642352834,-0.649477009846129,-0.606229195753435,-0.40113721757223,0.450321554623679,-0.685303585700389,0.817465727486177,-0.964326289479664,-0.930280996743164,0.714046330555281,0.0185185185185185,-0.618843953045969,0.858782094978414,-0.699110282166131,0.579415837970515,0.212595389253766,-0.250889949253957,0.48515488904037,-0.626975909536762,0.0835680140089675,-0.525339629333761,-0.504684081934673,0.3256576242144,0.605067866428503,0.376581375165633,-0.515236711816476,-0.0232522911459517,-0.0491176247822465,0.0156782549420587,-0.168614200633122,-0.534091151918651,-0.30127096339875,0.881466333409074,-0.622226721968143,-0.527745132306482,-0.911573127319549,-0.756570476406877,0.140915478391051,-0.657952461533865,-0.0800830179456205,0.488353536935399,0.681870831018603,0.419185033704461,-0.566272816784064,-0.756911308036052,-0.188872627524824,0.665285438130947,-0.257153535251891,-0.0141319460290813,0.148186018329168,-0.521164909471539,-0.103006892372946,0.210232203481629,0.445147911179664,0.4306875205789,0.093999345238571,-0.659509202453988,-0.0124592895554041,0.163579662274033,-0.37176417268154,-0.0874801181549648,0.391577103665043,0.39484143677883,0.822426721199727,-0.764826175869121,0.088805574490646,0.818753313640839,-0.054608801030069,0.320723164463977,0.772773345586629,0.491192638658409,-0.496238582504593,-0.175598075530602,-0.620530805198872,0.0902295841870211,0.410005447174664,0.58805416989598,-0.269963369186855,0.550102249488753,0.974816329622056,0.207893172371224,0.360107551314095,0.629593480032261,-0.52404756494736,0.8363072523159,0.194298451435893
"CD8_T",0.464942347144526,-0.486486672149303,0.31803882891538,-0.83992274483072,-0.754296797579203,0.111944255093539,-0.559208684916993,-0.555572776279891,0.0317730818753313,-0.840388741773165,0.395515653612272,0.196301947751215,-0.285540504088098,-0.673028857077937,0.630777309417047,-0.476941496072842,-0.336053171214244,-0.673142467620995,0.366999924259638,-0.665995099858323,-0.669689524749376,0.683956816363905,-0.627243808225403,0.220675491554711,-0.560433121372628,-0.251291690129792,-0.123470662486656,0.028101387074361,-0.0587366507611907,-0.379702135553306,-0.437915789079294,0.69522225237576,0.597128562557951,-0.102947837693711,0.433944362034009,0.3140698422554,-0.185993598352792,0.894007057038198,-0.289970812696262,0.409260671838008,-0.595143271896941,0.57530013310844,-0.481509855827371,-0.728585182171362,0.75328807139274,0.111177088084216,-0.452565866657027,0.19654149955392,0.400253753811105,0.654630611389936,0.0582064682269181,0.720951429767977,-0.765507839127471,-0.716821512936302,0.245457640366549,-0.154207377111263,0.112133605998637,0.631729557099831,-0.150647580095433,-0.611929106376807,0.654841647868086,0.438961016380792,0.515731900599171,-0.625994092251761,0.562250642914512,-0.000643793077330868,-0.0345754752707718,0.136597742937211,-0.16455858273563,-0.556533074172225,-0.231399496089188,0.235408825244495,0.532757706581837,0.550859653109142,0.395022834941104,-0.612070513766302,0.318639599509988,0.618874498220102,-0.412810443370912,0.162844880650143,-0.674127092327501,-0.258403457803129,0.561409666680395,-0.515498332700268,0.603347724002121,0.625043334770035,-0.21920564023855,0.452661730809277,-0.575511827956545,-0.746118306445505,-0.641975308641975,-0.121356355436144,-0.250801620446915,0.0236276513581185,0.627395288949481,-0.0863741574871997,0.537496252258557,0.0394985988033023,-0.514865031998278,-0.239688204630585,0.669764173474249,0.384595100861902,0.135311647942739,-0.658524443131454,-0.525090694744455,0.424830439155444,-0.453154586078921,-0.264681871706471,0.672612285086723,-0.685400481400002,0.104093644433145,0.236954178842615,-0.522323536831004,-0.144701961675377,0.625274558812391,0.0012118457926229,-0.445707191756551,0.505813896399484,0.407597659790462,0.24726861325423,0.221026826401344,0.869442886567847,0.605771415587367,0.180533745550337,0.582695493794566,-0.292106655966841,0.361063982485383,0.641027629362167,0.0888434446716656,0.4502064051594,-0.401324829412829
"Cytotoxic",0.523018035351286,-0.500072771663144,0.140006059228963,-0.613796505784319,-0.618056901579514,-0.460913027716447,-0.445431377814392,-0.175699900725484,0.112057865636598,-0.61895023858214,0.301333490484163,0.293595270039921,0.00381048132863149,-0.668047734349466,0.666614420396571,-0.297554593771361,-0.662700244476754,-0.644836703947743,0.230842506509884,-0.220511314720302,-0.116821407495129,0.374015203308022,-0.333757398139213,0.293230342273715,-0.0611153688609063,-0.247432079037745,0.0291600393849883,0.368572554161162,-0.142656971900326,-0.431875914404563,-0.411108443197662,0.53348601752047,0.700257517230932,0.0352950087101416,0.689563370452709,0.187381655684314,-0.243630631476721,0.813037400924374,-0.168592021949763,0.359027310920147,-0.00929502770826662,0.562718575173357,-0.518637814173498,-0.486946741917688,0.744838710301305,0.596303726782399,-0.0477924472372341,0.24421851525968,0.306571362261748,0.60572038809093,-0.57205596792119,0.19127109099006,-0.729513459983771,-0.778238141689945,-0.0605165492691055,-0.227687976279334,-0.236463197822809,0.784980022087531,-0.516985487018435,-0.315950399405826,0.640478508312133,0.0886540937665682,0.352600816266685,-0.529245710527816,0.10854346262252,0.350024035538097,-0.245774676153079,0.0774695075814094,0.0384154959826362,-0.212096063843497,-0.520506158296106,0.268296516061936,0.529160039384988,0.527928535535707,-0.340539318113953,-0.782895796679116,-0.205040062586622,0.79733111604636,-0.421289553696429,0.179851622302408,-0.477787324488495,-0.142403896344236,0.632817264551994,-0.35229053875536,0.603347724002121,0.424504060754951,0.0982740081621908,0.497501489177198,-0.0125924735498229,-0.540605217887977,-0.471866704507704,-0.00772767896905402,0.21102455445716,0.1890962099632,0.369508724054204,0.375521622175703,0.332373949813846,0.112841890563412,-0.231308736966077,-0.320352544234634,0.653336536551426,0.103902431254284,0.14737010431293,-0.660627965992295,-0.551848951471244,0.241236396511349,-0.11915133656161,-0.427302371430239,0.63098177707417,-0.553991916087579,-0.380912694520999,0.0921829756221839,-0.665824684585065,-0.429677846709071,0.647920927062031,-0.580024907232321,-0.617700522608498,0.104149041420638,-0.0668800140220058,0.367002069074311,0.23962943417986,0.696680229720076,0.497664816279574,0.505647204283031,0.368083846909143,-0.497846506110368,-0.329129489083736,0.601833611710487,-0.631910891694409,0.564148540343793,-0.653966311171102
"B_cells",-0.0511716044872509,-0.0761948042111642,0.368637327767533,-0.332886839297561,-0.634605662048743,0.630299976711321,-0.497910392768084,0.0479269841399537,-0.23817857796638,-0.617597276530614,0.0829113594167172,0.00586660060078426,-0.312924834712564,-0.510809779471399,0.114229729634072,-0.012332727167277,-0.44473347084142,-0.634363402257063,0.271965844192099,-0.70885920886581,-0.46808614517682,-0.191932017954504,-0.433810979343661,-0.0504430811179277,0.102562153333687,-0.310011206592415,-0.0318742130914517,-0.467336791709879,0.0291043622040826,-0.532681966219798,-0.358705803997871,0.234787202494151,0.400836821953402,-0.205430341525333,0.625463909717488,0.0423682682199875,-0.411517008668657,0.666427812122851,-0.576060847543507,-0.111869722582859,-0.137599267777263,0.536905231459906,-0.721683027172548,-0.478025844370588,0.412334120605173,0.438302413925149,-0.522726779853989,0.14609767528234,0.426086020489898,0.614858406284312,-0.182231311065667,0.79110808149663,-0.580080263539637,-0.727423302065811,0.128607134742104,-0.280658946576924,-0.091077785351814,0.730363695065423,-0.529494161656982,-0.146271066392983,0.457006981396283,0.100431720063622,0.713604757003847,-0.586337860656711,-0.0313640442176448,-0.689395364696167,0.202634076950686,-0.039204348126776,0.00183802132872213,-0.0896387184730743,-0.532228281070945,0.133682905182655,0.00637454345980482,0.0551113073072114,0.237149209989799,-0.41812581818088,-0.420346874189077,0.731844087646176,-0.330839476158928,-0.391143241958548,-0.705786563659774,-0.239188063318943,-0.0416093533040945,-0.448381256887142,0.190357481380896,0.445542679694009,0.695760283693355,0.419276291476009,-0.48290582832531,-0.739856995357447,-0.481939425700663,0.596132472050203,-0.588351132318413,0.0926750275100284,0.214889486262149,-0.464253309793681,0.356411259015294,-0.552007880586838,-0.114771525744149,-0.170022326277938,0.364496634627961,-0.145674155252612,0.27646831240639,0.737553810612637,-0.347248279736431,0.555402395052152,-0.553651332340683,-0.0488502027694045,0.929523593122775,-0.234858309191364,-0.16323967098893,0.60534957377415,-0.515592320064928,0.000747433766380812,0.50340731235172,-0.0145159660485594,-0.435128133343079,0.778156479587973,0.0602893281829887,-0.370353580622375,0.596816399447421,0.708591785650503,0.139556134246965,0.557508535983861,0.642028814030895,-0.245164714905572,0.0366204650458229,0.600996933158009,-0.0285919866696963,0.774843497817784,-0.249725119230155
"NK_cells",-0.0282936605053111,-0.566630060211308,-0.43187007277427,-0.680813116321611,-0.396675333581819,0.0508840261135503,-0.670252303392914,-0.161677720892609,0.640249262497159,-0.50533258305768,0.63961194215093,0.33050253474026,0.221107144950994,-0.740258140311374,0.52742860013517,-0.274789675377311,-0.524789387775534,-0.496677458447558,0.265709472724373,-0.350001235599258,0.170299066738612,0.145834026560805,0.0812407589322038,-0.0982237671985196,0.176439421499161,-0.15101052842672,0.154491258412989,0.395923211214208,-0.25368923081733,-0.0316204036808422,-0.397570214030783,0.541509886105733,0.580717234066725,0.0352936721323892,0.472234725297823,0.197366772992999,-0.391953989020674,0.810484044197704,-0.429405461074583,-0.140985344794941,0.767987434936007,0.288327777288012,-0.705062908524372,-0.427667481805219,0.605024470101581,0.696800133095169,0.0968869669950704,0.0848574478444324,0.0207142045669709,0.510151726719052,-0.521016310359044,-0.302487522582333,-0.691180228952699,-0.800583178702617,0.375759247258809,-0.417486118878837,-0.446652881420095,0.833907675995001,-0.603897690792502,-0.284658401936806,0.382558940468214,0.147991062975726,-0.0660052258870754,-0.391935363848558,0.121119556264251,0.277802152396145,0.0645298266476363,-0.391714318173212,0.446628209235486,0.15122737390013,-0.69390357071328,0.409264547528937,0.538854681688381,0.599548508239439,-0.424725828533997,-0.875904116332791,-0.761006567694062,0.789706586184661,-0.652175559510736,0.401381647079916,-0.332845134035607,0.143158699425608,0.603205894573436,-0.415355664794332,0.553853895666489,-0.0440714267991127,0.229910602416455,0.542518254945089,-0.128520077242386,-0.364790244293118,-0.633432061411082,0.13904875027592,0.622539580457811,0.199348034949034,0.305070625213012,0.400293362101951,0.333042794438642,0.155489074866513,0.0617452752126609,0.167197187461129,0.308725934927083,-0.0304232898117679,0.0814956815707513,-0.0885371303063581,-0.670882720490779,-0.00991035848352317,0.42818481705631,-0.270506875063681,0.650274180150315,-0.299789779051675,-0.121445071382588,-0.0160184799484985,-0.732949596697845,-0.385663239272637,0.658499640246904,-0.364289785828895,-0.552391411368198,0.231618834808141,0.00244484552422924,0.582152831633777,-0.197341640629478,0.583973946302117,0.415015489323873,0.613121824978016,0.395260912109308,-0.56844776006362,-0.0695451783465429,0.673969968626239,-0.31057291893086,0.182754572651191,-0.621986630204421
"Monocytes_Macrophages",0.0481823061701085,0.0497992880405969,-0.19646699886294,-0.686111692576992,-0.0375293493902901,0.587483576401741,-0.897892700520469,0.0761948042111641,0.70824812542604,-0.494887378759104,0.727069605392714,0.267507547281375,0.0842277364807578,-0.812864423495457,-0.269914763892017,-0.0432990777875867,-0.640757964701383,-0.889971740497165,-0.481367982343152,-0.606530094726773,-0.421625302425549,-0.392527431892026,0.277549346158331,0.526508864195884,-0.327177405074723,-0.481550723343311,0.454102692284041,-0.312025454888333,-0.61072683216109,-0.186051834984066,-0.0702753348939421,-0.0608573808982807,0.679014707611103,-0.511924245867216,0.622732278259503,0.168368542031167,-0.694578411691848,0.593696679455183,-0.453724505267007,-0.058260712397843,-0.550289958867833,0.200219647049913,-0.739844588158359,-0.4776555433983,0.534762272227566,0.828031507990608,-0.527948166238431,0.124706506097099,0.495440555568614,0.549158700478011,-0.307696095486396,0.138415511626146,-0.764333863515868,-0.513091542415494,0.340849262835117,-0.0459743997576308,-0.617965613875634,0.949102476709839,-0.690157752503693,0.193977980900549,0.472243501801886,-0.362134333267951,0.259499112418446,-0.644117588743096,-0.372404448283515,-0.359934352269336,0.0824124683556389,0.0261680998483019,0.7038520304613,-0.190928407096738,-0.735156658046381,0.0133303037188518,-0.145042793304552,0.0847155949405438,-0.640447245348842,-0.852798606377339,-0.722525183670378,0.715140498371582,-0.148526849958343,0.115314701204272,-0.424773354379884,-0.287292291634393,-0.0559721275467697,-0.164507145093068,0.0257895932742559,0.395168010842561,0.448487897772151,0.441773878854741,-0.51098837708745,-0.49564205667106,-0.659002453964629,0.604493944291678,-0.475976921522256,0.157418703762879,0.0228357191547376,-0.0137676758224899,-0.121676891615542,-0.241675314492548,0.518067904803618,0.129845204560214,-0.132092451017915,-0.465526592767065,-0.420235891753293,0.208263002111069,-0.721286145309185,0.450530183099493,0.630350701392374,0.187719628085647,0.805640761743011,-0.383624737953469,0.375292041838699,0.811719493440148,-0.490728032999428,0.398148618007429,0.63459062334318,0.457430021189388,-0.37388456368625,0.668400728559312,0.0125970868574194,0.0666557514635525,0.291833308548248,-0.138521088987971,0.591660281997888,0.48911744308358,0.833583884934709,-0.1060561125374,0.251683437152064,0.735628266303113,-0.183695811894873,0.457967738796159,-0.338886331898177
"Treg",-0.56413883092764,-0.555377520631853,-0.111637065929488,-0.253652708923356,-0.269529157838659,0.010603249138486,-0.0358831397869699,0.597059753559367,-0.429998397945604,-0.0154805274123129,0.529389239581034,0.339985609876169,0.390499074639186,-0.246420647255029,0.265221841204929,-0.403402523963788,-0.513075512525079,-0.458712215651365,0.270481920055935,-0.554669106720299,0.19267618434506,-0.0316204036808422,-0.459462159884156,-0.04033021547317,-0.367919209120403,0.464600037039595,0.363169709434659,0.131002532726931,0.551596167682811,-0.0671034195478471,-0.291399299420526,0.415848691764506,0.219886555408366,-0.141328689047536,0.327791837631189,0.65968367937473,-0.2369670036712,0.571841658624354,-0.634133096599931,-0.0994811981671526,-0.0699435755670845,0.520766368423452,-0.432145430217905,-0.0521797461110902,0.694505635474652,0.32181880360398,0.217688868911058,-0.154440696479422,0.348459692649232,0.411713978466116,-0.480280631467571,0.572916272200553,-0.685121369333889,-0.765417588501521,-0.123285045232759,-0.435160465574275,-0.0163971674177301,0.284612322006344,-0.593143305989433,0.183600920438221,0.226972461952569,-0.129352330038578,0.144472960592227,-0.629310244775549,0.266410867257536,-0.0882615876936339,-0.423631381760667,-0.413357600041896,0.697062764214348,-0.121524012765246,0.191059628025024,0.106122947206309,0.135393033908938,0.302792747949918,0.103148955988052,-0.352757078639656,-0.850757577429957,0.706753183810069,-0.110554401539985,0.576957006901973,-0.601655886035449,-0.091568603169405,0.075586018858636,0.0307481287835056,-0.00898911018010196,0.313682759785518,0.808767325772572,0.198665568167321,-0.402786926541397,-0.379422551221907,0.016813723633885,0.777462518483278,-0.563569092497641,0.013997893891435,-0.0413386113237447,-0.356983220285969,0.324561679475873,-0.104631347748703,0.166984957671656,0.366435142945307,0.149316469118037,0.0152363965134202,0.0734653690309388,-0.769303484495308,-0.618101339951458,0.0658975116808939,-0.311361048407844,-0.0187764629191237,0.636546882538308,-0.747578672517152,0.388417505087114,0.614214198816847,-0.229629869499499,-0.510313954800518,0.502647729529405,-0.639519015691952,-0.043776271443178,-0.511239133735228,0.205724142899487,-0.595603032381567,0.405512463165696,0.559927292005908,-0.606274487823459,0.58162880200552,0.630154581658091,0.144052713295717,0.119097209073352,0.458327338109787,-0.508022515932725,0.635027859357704,-0.393353306215473
"Checkpoint",-0.532839246271065,-0.302258263674024,0.0451808369626965,-0.539167728590873,-0.036359280335121,-0.248568722268891,-0.45870918800319,0.0287795131964261,-0.26656687920126,-0.0109151185296726,-0.018968945854404,0.255767666568824,-0.462760533481559,-0.64051453365335,0.244752008874796,-0.33532886756677,-0.514372400121534,-0.709152163384913,0.344967976621713,-0.649375946395124,-0.262244836136058,0.644905246891998,-0.423124057470101,0.39815449249744,0.256362475665393,0.482564727930644,0.317403419262111,0.436469756311197,-0.0709943625400237,0.0105022761708512,-0.117402007195607,0.583904608026209,0.527913785967473,-0.40179710320046,-0.204683088601288,0.366361853190555,-0.399283136437183,0.568051458187446,-0.568406027770119,0.173403635285771,0.290947083788775,0.33913943852831,-0.182226520792093,-0.545106377914577,0.656933432326083,0.595051857694393,-0.191894254209475,0.209386144465317,0.263292843064435,0.409968461399054,-0.613738669368659,-0.111467967951629,-0.716974602029935,-0.594574022527744,0.139393908417206,-0.0907782616928612,-0.37816070570122,0.382288862044127,-0.773766807807198,0.0408430709066363,0.180045108745889,0.186910443652302,0.174349461963719,-0.383867877598096,0.317195362003622,0.14778472681872,-0.602717831794946,-0.669579133887284,0.492626512210497,-0.130316227987124,-0.555209665870622,0.112523847841245,0.446417746017308,0.357438497542031,-0.410016748095591,-0.682013302023593,-0.72573928161471,0.828339576345766,-0.808461560140729,0.465338144871249,-0.487204609436809,0.229687290884516,0.470429048951206,-0.212374241836745,0.412749539759432,0.364616253373227,0.361932750654427,0.858705482345923,0.166885945235428,-0.216368228721924,-0.00703414301145466,0.678362932659233,0.0875652558974953,0.282468934504219,0.604724151961348,0.261441144819376,0.327931233819133,-0.0337436091649309,-0.206100550623546,-0.408661347645926,0.146474597849282,-0.334407618868529,0.318336525293607,-0.751076506286995,-0.442054316090621,-0.0523468014628885,-0.363759568411102,-0.186135883875033,0.375503447338552,-0.332736291014784,-0.556033838588148,0.156310130067497,-0.708346699567675,-0.381555647753835,0.581776314628293,-0.51646696725058,-0.527435756475025,-0.511338802361017,-0.240020066225539,0.301653800910544,0.513107650039905,0.359928439973068,0.286243241780897,0.362736945337528,0.492478549339183,-0.504806640737464,-0.320310591483952,0.603407560011962,-0.286220390251015,0.283471025139951,-0.627669986003643
"Antigen_Presentation",0.677750426055671,-0.120053020261314,0.580018923248615,0.558635180263117,-0.425496568596852,0.740622127031662,-0.152761355199697,0.916796061352017,0.318313333225896,0.7092458537892,0.505104166919563,-0.611629426582807,0.785078583601591,-0.12899072145427,-0.844609324752585,-0.349717766002666,-0.756220412800606,-0.55763205362297,-0.276710235759105,-0.289581751970604,0.395762119960153,-0.604165877674683,0.300450919034047,-0.677434396950149,0.448043057235613,0.538269267184245,0.637265669380799,0.550615413747396,0.666473057983047,-0.366903500669907,0.64029539859875,-0.623336988114516,-0.436659723537209,-0.849923217874679,-0.329077152012641,-0.861544673361965,-0.820209419160733,0.906962292357028,0.177428517326264,-0.948532474910055,-0.425057929319647,-0.398391987610004,-0.448324181026321,-0.842306435315522,0.83658398030676,-0.271619236576377,0.971293315659913,-0.857003196306021,-0.660215868206779,-0.668097940641325,-0.424088655916481,0.579713822325202,-0.230962697716102,0.450937322476804,-0.493020766774114,0.520650545027186,-0.21667030414542,0.785002840371142,0.0100641243626179,0.793258852490059,-0.575749083350706,-0.430658251816614,0.48776417576966,-0.538836506098395,-0.228298525993244,-0.755933885518522,0.442604119275204,0.484375103869177,0.46885059647794,0.643110776899576,-0.853739822003408,-0.701462199691762,-0.52622609354289,-0.726402492210261,0.18362859900289,0.017610301079341,0.200041231143612,0.215069335100148,0.645334661768566,-0.801401249763302,-0.658206702522788,-0.469659128033894,-0.477939784131793,-0.0972921795114562,-0.538832185727799,-0.472040248077633,0.574436659723537,-0.38732464289112,-0.120924067411475,0.128779553886746,0.717499149958735,0.474567058580503,-0.411626270444939,-0.598934552746117,-0.591292078529289,-0.860026510130657,-0.816164292267983,0.45349905488365,0.531603862904753,0.242831895518904,-0.739140314334406,-0.682907462237595,-0.269287551385479,0.146384287575791,0.353796629426245,0.200377766101158,0.835576244100773,0.625097697161337,0.699385698238598,0.144669570157167,-0.587501835618324,0.434672591723728,0.358412714973635,0.424654421511077,0.692783370728691,0.569408810074328,-0.0570410109865754,0.195860204540054,-0.578096359026736,0.0670026127294293,0.794205642870668,-0.0602919193965596,0.00291611437227796,0.790494224578678,0.811815943950009,0.777617875402386,-0.558562623699272,-0.0103389509562583,-0.317919530274151,0.883215629408462,0.594785611352009
