"sample","group","sample_type","gene","expr"
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","VIM",16.0745511199402
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","VIM",15.2366358684146
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","AURKA",10.1267256463133
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","AURKA",9.87786224111258
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","AURKA",9.72510897242494
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","AURKA",9.71563178285949
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","AURKA",9.71733973679597
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","AURKA",10.2394383984546
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","AURKA",9.50131434246493
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","BRCA1",9.23618353908739
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","BRCA1",9.27623062264445
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","BRCA1",8.9176716473501
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","BRCA1",8.86659597506751
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","BRCA1",9.12982375512067
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","BRCA1",10.1681934541784
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","BRCA1",8.72214445268819
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","BRCA2",8.99749906023378
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","BRCA2",9.07100778640332
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","BRCA2",8.87484245448681
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","BRCA2",8.47293408330807
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","BRCA2",9.05852234694701
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","BRCA2",9.56199405899472
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","BRCA2",8.7045685235287
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","MYC",13.0575110774818
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","MYC",11.6339271005941
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","MYC",13.2719218820664
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","MYC",10.4910820424509
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","MYC",12.8654111025471
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","MYC",11.904902099895
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","MYC",11.8987354131102
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","PTEN",11.1779729316193
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","PTEN",11.3362319040896
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","PTEN",11.4893406169713
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","PTEN",12.0721704031218
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","PTEN",11.568813711729
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","PTEN",11.0648229330768
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","PTEN",11.7318149502017
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","RB1",8.68972197917481
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","RB1",8.78842551883642
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","RB1",8.61750004563473
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","RB1",9.5970947342849
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","RB1",8.74390770534121
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","RB1",9.10425096192424
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","RB1",9.28281645719481
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","TTF1",8.29338796805252
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","TTF1",8.53372768826655
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","TTF1",8.27579341808906
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","TTF1",8.62495047095352
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","TTF1",8.21373273124735
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","TTF1",8.80539794935663
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","TTF1",8.55501428896519
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","INSM1",6.25358934370314
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","INSM1",6.46026643284637
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","INSM1",6.25358934370314
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","INSM1",6.25358934370314
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","INSM1",6.25358934370314
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","INSM1",6.57769414496019
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","INSM1",6.25358934370314
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","ACP3",10.3691288493429
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","ACP3",10.5393730008053
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","ACP3",9.76020209381226
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","ACP3",9.999006183418
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","ACP3",9.75265496338998
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","ACP3",8.87548682334333
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","ACP3",9.97135844678299
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","CHGA",6.50133466600378
