"sample","sample_short","PC1","PC2","group","sample_type"
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","T1579KO_L1",-22.1512341140751,22.1814771810703,"KO","original tumor"
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","T2054WT_L2",-17.159318185328,-21.7486707262221,"WT","original tumor"
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","T2055KO_L1",-24.1523358486539,26.9716034668312,"KO","original tumor"
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","T2498WT_L1",81.8342872959246,-0.516977906268508,"WT","original tumor"
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","T2675KO_L1",-19.4986585211086,23.9651395255444,"KO","original tumor"
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","T2785WT_L3",-20.8698460117846,-55.9355364896131,"WT","original tumor"
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","T2552WT_LX",21.9971053850309,5.08296494865686,"WT","original tumor"
