"subtype","endpoint","n_original","n_analysis","n_removed","events_analysis","cutoff_months","limiting_group","HR","lower_95_CI","upper_95_CI","p_value"
"Basal-like","OS",65,62,3,36,31.8331143232589,"High",0.683698231738699,0.353990578107724,1.3204963662631,0.2575583210234
"Classical-like","OS",86,85,1,46,71.6819973718791,"High",0.622270741398776,0.343702867125269,1.12661520353233,0.117272262150489
