"subtype","endpoint","n_original","n_analysis","n_removed","events_analysis","cutoff_months","limiting_group","chisq","p_value"
"Basal-like","OS",65,62,3,36,31.8331143232589,"High",1.2857775905553,0.256827547517546
"Classical-like","OS",86,85,1,46,71.6819973718791,"High",2.48911521679087,0.114636154154142
