"subtype","endpoint","n_original","n_analysis","n_removed","events_analysis","cutoff_months","limiting_group","HR","lower_95_CI","upper_95_CI","p_value"
"Basal-like","DFS",20,19,1,7,34.09277707,"Low",1.56142441151148,0.299728217979314,8.13418973128595,0.59669856405036
"Classical-like","DFS",29,28,1,11,42.31186508,"High",0.788686329899609,0.217572321718043,2.85893960251347,0.717890560577608
