"subtype","endpoint","n_original","n_analysis","n_removed","events_analysis","cutoff_months","limiting_group","HR","lower_95_CI","upper_95_CI","p_value"
"Basal-like","DFS",21,20,1,8,34.09277707,"Low",1.86160302061053,0.37250766565373,9.30334091317124,0.449038040520693
"Classical-like","DFS",32,31,1,12,49.67616793,"Low",1.03218292202972,0.308289283850126,3.45585020414708,0.959025086172813
