"subtype","endpoint","n_original","n_analysis","n_removed","events_analysis","cutoff_months","limiting_group","chisq","p_value"
"Basal-like","OS",63,60,3,34,31.8331143232589,"High",1.40845922704686,0.235312338770639
"Classical-like","OS",78,77,1,44,71.6819973718791,"High",2.95376077892607,0.0856779647682236
