"endpoint","term","coef","HR","lower_95_CI","upper_95_CI","p_value","signif"
"DFS","PIP5K1A_z",0.222667152958311,1.24940464387973,0.537808067301647,2.90254471633405,0.604634848372838,"ns"
"DFS","subtypeClassical-like",-0.0461220553172531,0.954925401354609,0.342247269211314,2.66439678029757,0.929798605836476,"ns"
"DFS","PIP5K1A_z:subtypeClassical-like",-0.18891934100665,0.827853277813882,0.269870047451942,2.53952247038172,0.741144071169299,"ns"
