"subtype","endpoint","n_original","n_analysis","n_removed","events_analysis","cutoff_months","limiting_group","chisq","p_value"
"Basal-like","DFS",21,20,1,8,34.09277707,"Low",0.591145300342625,0.441976579619347
"Classical-like","DFS",32,31,1,12,49.67616793,"Low",0.00263979903369661,0.959023538458663
